"Treatment","Fuel_class","Year","Fuel_load","SE"
"Burn+Thin","1000h_Mg_ha",2001,26.461249146921,1.30574742834449
"None","litter_Mg_ha",2003,15.0510659227498,0.369880581477461
"None","duff_Mg_ha",2003,45.4472981187145,3.90233524894632
"None","litter_Mg_ha",2016,29.4956539982407,1.86041470076102
"None","duff_Mg_ha",2016,77.5975592852898,13.9777624072483
"None","litter_Mg_ha",2020,50.8416138994145,7.13077761121976
"None","duff_Mg_ha",2020,62.0991072645886,5.24079024689285
"None","litter_Mg_ha",2009,17.880293960197,1.68826277469328
"None","duff_Mg_ha",2009,50.7187071044559,13.6495874793757
"None","litter_Mg_ha",2001,19.9139123160915,1.09282271686107
"None","duff_Mg_ha",2001,50.9591951986882,0.458849946126509
"Burn","litter_Mg_ha",2003,5.76369592637726,0.541031477549393
