treatment,comp,plot_id,year,inv_date,timestep,tree_id,Status_raw,Species_raw,dbh_cm,tph,ba_m2ha,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,species,status,Remove flag,PFT,Outlier,DBH_BA,Treatment,PFT_simple
mechburn,180,0180-00004,2003,2003-06-01,post_1,0180-00004-25,Live,QUKE,95.3,24.69135802,17.61248594,2.0,0.5999999999999943,0.2999999999999971,2001.0,2003,QUKE,Live,0,deciduous_oak,0,95.3,Burn+Thin,oak
mechburn,570,0570-00011,2003,2003-06-01,post_1,0570-00011-24,Live,QUKE,51.3,24.69135802,5.103517266,,,,,2003,QUKE,Live,0,deciduous_oak,0,51.3,Burn+Thin,oak
control,40,0040-00116,2003,2003-06-01,post_1,0040-00116-5,Live,QUKE,35.8,24.69135802,2.485426425,2.0,0.1999999999999957,0.0999999999999978,2001.0,2003,QUKE,Live,0,deciduous_oak,0,35.8,None,oak
mech,350,0350-00110,2003,2003-06-01,post_1,0350-00110-6,Live,QUKE,69.6,24.69135802,9.394060166,2.0,1.0,0.5,2001.0,2003,QUKE,Live,0,deciduous_oak,0,69.6,Thin,oak
control,240,0240-00112,2003,2003-06-01,post_1,0240-00112-1,Live,QUKE,64.8,24.69135802,8.143008158,2.0,1.7999999999999972,0.8999999999999986,2001.0,2003,QUKE,Live,0,deciduous_oak,0,64.8,None,oak
mech,350,0350-00101,2003,2003-06-01,post_1,0350-00101-6,Live,QUKE,48.3,24.69135802,4.524067954,2.0,2.299999999999997,1.1499999999999986,2001.0,2003,QUKE,Live,0,deciduous_oak,0,48.3,Thin,oak
mechburn,570,0570-00104,2003,2003-06-01,post_1,0570-00104-10,Snag,QUKE,22.1,24.69135802,0.9471514,2.0,0.3000000000000007,0.1500000000000003,2001.0,2003,QUKE,Snag,0,deciduous_oak,0,22.1,Burn+Thin,oak
burn,340,0340-00109,2003,2003-06-01,post_1,0340-00109-3,Live,QUKE,45.5,24.69135802,4.014742093,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,45.5,Burn,oak
control,240,0240-00114,2003,2003-06-01,post_1,0240-00114-26,Live,QUKE,20.8,24.69135802,0.838999164,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,20.8,None,oak
control,40,0040-00116,2003,2003-06-01,post_1,0040-00116-21,Live,QUKE,32.8,24.69135802,2.086327803,2.0,0.7999999999999972,0.3999999999999986,2001.0,2003,QUKE,Live,0,deciduous_oak,0,32.8,None,oak
control,40,0040-00101,2003,2003-06-01,post_1,0040-00101-18,Live,QUKE,44.5,24.69135802,3.840209168,2.0,1.1000000000000014,0.5500000000000007,2001.0,2003,QUKE,Live,0,deciduous_oak,0,44.5,None,oak
burn,60,0060-00119,2003,2003-06-01,post_1,0060-00119-10,Snag,QUKE,63.8,24.69135802,7.893620001,2.0,-0.5,-0.25,2001.0,2003,QUKE,Snag,0,deciduous_oak,0,63.8,Burn,oak
control,590,0590-00113,2003,2003-06-01,post_1,0590-00113-15,Live,QUKE,33.5,24.69135802,2.176328615,2.0,0.7000000000000028,0.3500000000000014,2001.0,2003,QUKE,Live,0,deciduous_oak,0,33.5,None,oak
control,40,0040-00116,2003,2003-06-01,post_1,0040-00116-14,Live,QUKE,31.5,24.69135802,1.9242255,2.0,0.3000000000000007,0.1500000000000003,2001.0,2003,QUKE,Live,0,deciduous_oak,0,31.5,None,oak
mech,190,0190-00110,2003,2003-06-01,post_1,0190-00110-10,Live,QUKE,35.3,24.69135802,2.41648592,2.0,1.0,0.5,2001.0,2003,QUKE,Live,0,deciduous_oak,0,35.3,Thin,oak
control,590,0590-00115,2003,2003-06-01,post_1,0590-00115-18,Live,QUKE,30.2,24.69135802,1.768677879,2.0,0.1999999999999993,0.0999999999999996,2001.0,2003,QUKE,Live,0,deciduous_oak,0,30.2,None,oak
control,40,0040-00101,2003,2003-06-01,post_1,0040-00101-3,Live,QUKE,63.5,24.69135802,7.819559863,2.0,0.7999999999999972,0.3999999999999986,2001.0,2003,QUKE,Live,0,deciduous_oak,0,63.5,None,oak
control,240,0240-00113,2003,2003-06-01,post_1,0240-00113-33,Live,QUKE,42.2,24.69135802,3.453502383,2.0,0.3000000000000042,0.1500000000000021,2001.0,2003,QUKE,Live,0,deciduous_oak,0,42.2,None,oak
mech,350,0350-00116,2003,2003-06-01,post_1,0350-00116-21,Live,QUKE,76.7,24.69135802,11.40842223,2.0,2.0,1.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,76.7,Thin,oak
mech,350,0350-00101,2003,2003-06-01,post_1,0350-00101-13,Live,QUKE,35.1,24.69135802,2.389181213,2.0,0.3000000000000042,0.1500000000000021,2001.0,2003,QUKE,Live,0,deciduous_oak,0,35.1,Thin,oak
control,40,0040-00108,2003,2003-06-01,post_1,0040-00108-6,Live,QUKE,12.2,24.69135802,0.288638673,2.0,0.2999999999999989,0.1499999999999994,2001.0,2003,QUKE,Live,0,deciduous_oak,0,12.2,None,oak
control,40,0040-00012,2003,2003-06-01,post_1,0040-00012-4,Live,QUKE,59.9,24.69135802,6.958065344,2.0,0.5,0.25,2001.0,2003,QUKE,Live,0,deciduous_oak,0,59.9,None,oak
control,40,0040-00108,2003,2003-06-01,post_1,0040-00108-10,Live,QUKE,14.7,24.69135802,0.419053553,2.0,0.5,0.25,2001.0,2003,QUKE,Live,0,deciduous_oak,0,14.7,None,oak
mech,350,0350-00119,2003,2003-06-01,post_1,0350-00119-1,Live,QUKE,55.6,24.69135802,5.994934485,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,55.6,Thin,oak
control,240,0240-00109,2003,2003-06-01,post_1,0240-00109-13,Live,QUKE,50.5,24.69135802,4.945584361,2.0,0.7000000000000028,0.3500000000000014,2001.0,2003,QUKE,Live,0,deciduous_oak,0,50.5,None,oak
mechburn,380,0380-00112,2003,2003-06-01,post_1,0380-00112-10,Snag,QUKE,29.5,24.69135802,1.687636424,2.0,-46.7,-23.35,2001.0,2003,QUKE,Snag,0,deciduous_oak,1,52.85,Burn+Thin,oak
mech,350,0350-00105,2003,2003-06-01,post_1,0350-00105-23,Live,QUKE,51.8,24.69135802,5.203485847,2.0,-2.8000000000000043,-1.400000000000002,2001.0,2003,QUKE,Live,0,deciduous_oak,0,51.8,Thin,oak
mechburn,570,0570-00119,2003,2003-06-01,post_1,0570-00119-29,Snag,QUKE,28.4,24.69135802,1.564125291,2.0,-0.6000000000000014,-0.3000000000000007,2001.0,2003,QUKE,Snag,0,deciduous_oak,0,28.4,Burn+Thin,oak
mechburn,570,0570-00104,2003,2003-06-01,post_1,0570-00104-9,Live,QUKE,30.0,24.69135802,1.745329252,2.0,0.5,0.25,2001.0,2003,QUKE,Live,0,deciduous_oak,0,30.0,Burn+Thin,oak
mechburn,570,0570-00013,2003,2003-06-01,post_1,0570-00013-19,Live,QUKE,48.3,24.69135802,4.524067954,2.0,-0.2000000000000028,-0.1000000000000014,2001.0,2003,QUKE,Live,0,deciduous_oak,0,48.3,Burn+Thin,oak
mech,350,0350-00119,2003,2003-06-01,post_1,0350-00119-11,Live,QUKE,63.5,24.69135802,7.819559863,2.0,0.5,0.25,2001.0,2003,QUKE,Live,0,deciduous_oak,0,63.5,Thin,oak
control,40,0040-00115,2003,2003-06-01,post_1,0040-00115-9,Live,QUKE,61.5,24.69135802,7.334746182,2.0,1.0,0.5,2001.0,2003,QUKE,Live,0,deciduous_oak,0,61.5,None,oak
mechburn,570,0570-00105,2003,2003-06-01,post_1,0570-00105-24,Snag,QUKE,21.6,24.69135802,0.904778684,2.0,0.5,0.25,2001.0,2003,QUKE,Snag,0,deciduous_oak,0,21.6,Burn+Thin,oak
mechburn,570,0570-00119,2003,2003-06-01,post_1,0570-00119-13,Live,QUKE,29.7,24.69135802,1.7105972,2.0,0.5,0.25,2001.0,2003,QUKE,Live,0,deciduous_oak,0,29.7,Burn+Thin,oak
mech,350,0350-00101,2003,2003-06-01,post_1,0350-00101-17,Live,QUKE,41.7,24.69135802,3.372150648,2.0,0.8000000000000043,0.4000000000000021,2001.0,2003,QUKE,Live,0,deciduous_oak,0,41.7,Thin,oak
control,240,0240-00022,2003,2003-06-01,post_1,0240-00022-25,Live,QUKE,25.4,24.69135802,1.251129578,2.0,0.7999999999999972,0.3999999999999986,2001.0,2003,QUKE,Live,0,deciduous_oak,0,25.4,None,oak
