Unit,Treatment,Year,Fuel_class,Mg/ha
60,Burn,2001,HUNDRED_HOUR_FUELS,9.925
60,Burn,2003,HUNDRED_HOUR_FUELS,4.685
340,Burn,2001,HUNDRED_HOUR_FUELS,6.105
340,Burn,2003,HUNDRED_HOUR_FUELS,2.538
400,Burn,2001,HUNDRED_HOUR_FUELS,4.247
400,Burn,2003,HUNDRED_HOUR_FUELS,1.36
190,Thin,2001,HUNDRED_HOUR_FUELS,7.23
190,Thin,2003,HUNDRED_HOUR_FUELS,11.164
350,Thin,2001,HUNDRED_HOUR_FUELS,5.665
350,Thin,2003,HUNDRED_HOUR_FUELS,12.238
490,Thin,2001,HUNDRED_HOUR_FUELS,4.04
490,Thin,2003,HUNDRED_HOUR_FUELS,9.555
180,Burn+Thin,2001,HUNDRED_HOUR_FUELS,5.373
180,Burn+Thin,2003,HUNDRED_HOUR_FUELS,3.07
380,Burn+Thin,2001,HUNDRED_HOUR_FUELS,8.403
380,Burn+Thin,2003,HUNDRED_HOUR_FUELS,2.805
570,Burn+Thin,2001,HUNDRED_HOUR_FUELS,7.998
570,Burn+Thin,2003,HUNDRED_HOUR_FUELS,2.263
240,Control,2001,Total_1_10_100_hr_fuels,14.468
240,Control,2003,Total_1_10_100_hr_fuels,16.653
590,Control,2001,Total_1_10_100_hr_fuels,11.538
590,Control,2003,Total_1_10_100_hr_fuels,13.773
40,Control,2001,Total_1_10_100_hr_fuels,8.996
40,Control,2003,Total_1_10_100_hr_fuels,12.399000000000001
60,Burn,2001,Total_1_10_100_hr_fuels,15.705000000000002
60,Burn,2003,Total_1_10_100_hr_fuels,6.893
340,Burn,2001,Total_1_10_100_hr_fuels,12.557
340,Burn,2003,Total_1_10_100_hr_fuels,3.9379999999999997
400,Burn,2001,Total_1_10_100_hr_fuels,8.047
400,Burn,2003,Total_1_10_100_hr_fuels,2.943
190,Thin,2001,Total_1_10_100_hr_fuels,11.088000000000001
190,Thin,2003,Total_1_10_100_hr_fuels,16.572
350,Thin,2001,Total_1_10_100_hr_fuels,10.825
350,Thin,2003,Total_1_10_100_hr_fuels,18.646
490,Thin,2001,Total_1_10_100_hr_fuels,8.061
490,Thin,2003,Total_1_10_100_hr_fuels,16.192999999999998
180,Burn+Thin,2001,Total_1_10_100_hr_fuels,9.376000000000001
180,Burn+Thin,2003,Total_1_10_100_hr_fuels,5.165
380,Burn+Thin,2001,Total_1_10_100_hr_fuels,14.099
380,Burn+Thin,2003,Total_1_10_100_hr_fuels,5.253
570,Burn+Thin,2001,Total_1_10_100_hr_fuels,13.366
570,Burn+Thin,2003,Total_1_10_100_hr_fuels,4.211
