treatment,comp,plot_id,year,timestep,tree_id,Status_raw,Species_raw,dbh_cm,tph,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,species,status,Remove flag,Outlier,DBH_BA,Treatment,PFT_simple
mechburn,380,0380-00120,2009,post_7,0380-00120-8,Live,PSME,53.2,24.69136,6.0,3.200000000000003,0.5333333333333338,2003.0,2009,PSME,Live,0,0,53.2,Burn+Thin,psme
burn,400,0400-00112,2009,post_7,0400-00112-21,Live,PILA,27.3,24.69136,6.0,3.400000000000002,0.566666666666667,2003.0,2009,PSME,Live,0,0,27.3,Burn,psme
burn,340,0340-00109,2009,post_7,0340-00109-21,Live,PSME,73.4,24.69136,6.0,7.600000000000008,1.2666666666666682,2003.0,2009,PSME,Live,0,0,73.4,Burn,psme
burn,400,0400-00103,2009,post_7,0400-00103-6,Live,PSME,28.6,24.69136,6.0,2.900000000000002,0.4833333333333336,2003.0,2009,PSME,Live,0,0,28.6,Burn,psme
burn,400,0400-00104,2009,post_7,0400-00104-3,Live,PSME,81.6,24.69136,6.0,2.3999999999999915,0.3999999999999986,2003.0,2009,PSME,Live,0,0,81.6,Burn,psme
mechburn,380,0380-00102,2009,post_7,0380-00102-11,Live,PSME,86.5,24.69136,6.0,2.4000000000000057,0.4000000000000009,2003.0,2009,PSME,Live,0,0,86.5,Burn+Thin,psme
mechburn,380,0380-00112,2009,post_7,0380-00112-16,Live,PSME,66.6,24.69136,6.0,4.099999999999994,0.6833333333333323,2003.0,2009,PSME,Live,0,0,66.6,Burn+Thin,psme
mechburn,380,0380-00004,2009,post_7,0380-00004-17,Live,PSME,50.4,24.69136,6.0,4.399999999999999,0.7333333333333331,2003.0,2009,PSME,Live,0,0,50.4,Burn+Thin,psme
burn,400,0400-00024,2009,post_7,0400-00024-8,Live,PSME,82.5,24.69136,6.0,3.799999999999997,0.6333333333333329,2003.0,2009,PSME,Live,0,0,82.5,Burn,psme
mechburn,380,0380-00004,2009,post_7,0380-00004-20,Live,PSME,47.1,24.69136,6.0,3.899999999999999,0.6499999999999998,2003.0,2009,PSME,Live,0,0,47.1,Burn+Thin,psme
mechburn,180,0180-00101,2009,post_7,0180-00101-18,Live,PSME,66.3,24.69136,6.0,3.5999999999999943,0.5999999999999991,2003.0,2009,PSME,Live,0,0,66.3,Burn+Thin,psme
mechburn,180,0180-00013,2009,post_7,0180-00013-5,Live,PSME,109.9,24.69136,6.0,4.0,0.6666666666666666,2003.0,2009,PSME,Live,0,0,109.9,Burn+Thin,psme
mechburn,380,0380-00120,2009,post_7,0380-00120-18,Live,PSME,74.8,24.69136,6.0,4.899999999999992,0.8166666666666652,2003.0,2009,PSME,Live,0,0,74.8,Burn+Thin,psme
mechburn,180,0180-00101,2009,post_7,0180-00101-38,Live,PSME,35.0,24.69136,6.0,2.0,0.3333333333333333,2003.0,2009,PSME,Live,0,0,35.0,Burn+Thin,psme
mechburn,380,0380-00107,2009,post_7,0380-00107-3,Live,PSME,16.5,24.69136,6.0,-0.2639999999999993,-0.0439999999999998,2003.0,2009,PSME,Live,0,0,16.5,Burn+Thin,psme
mechburn,380,0380-00112,2009,post_7,0380-00112-18,Live,PSME,57.2,24.69136,6.0,2.8000000000000043,0.4666666666666674,2003.0,2009,PSME,Live,0,0,57.2,Burn+Thin,psme
mechburn,570,0570-00115,2009,post_7,0570-00115-16,Live,PSME,47.1,24.69136,6.0,7.0,1.1666666666666667,2003.0,2009,PSME,Live,0,0,47.1,Burn+Thin,psme
mechburn,380,0380-00127,2009,post_7,0380-00127-12,Live,PSME,88.5,24.69136,6.0,2.0999999999999943,0.349999999999999,2003.0,2009,PSME,Live,0,0,88.5,Burn+Thin,psme
mechburn,180,0180-00110,2009,post_7,0180-00110-7,Live,PSME,47.6,24.69136,6.0,2.3999999999999986,0.3999999999999997,2003.0,2009,PSME,Live,0,0,47.6,Burn+Thin,psme
burn,340,0340-00024,2009,post_7,0340-00024-29,Live,PSME,45.1,24.69136,6.0,2.700000000000003,0.4500000000000004,2003.0,2009,PSME,Live,0,0,45.1,Burn,psme
mechburn,180,0180-00110,2009,post_7,0180-00110-1,Live,PSME,47.6,24.69136,6.0,1.8999999999999984,0.3166666666666664,2003.0,2009,PSME,Live,0,0,47.6,Burn+Thin,psme
mechburn,570,0570-00119,2009,post_7,0570-00119-11,Live,PSME,42.8,24.69136,6.0,3.3999999999999986,0.5666666666666664,2003.0,2009,PSME,Live,0,0,42.8,Burn+Thin,psme
mechburn,570,0570-00011,2009,post_7,0570-00011-17,Live,PSME,36.3,24.69136,6.0,4.299999999999997,0.7166666666666662,2003.0,2009,PSME,Live,0,0,36.3,Burn+Thin,psme
mechburn,180,0180-00110,2009,post_7,0180-00110-5,Live,PSME,33.4,24.69136,6.0,2.6999999999999997,0.4499999999999999,2003.0,2009,PSME,Live,0,0,33.4,Burn+Thin,psme
burn,400,0400-00104,2009,post_7,0400-00104-11,Snag,PSME,27.8,24.69136,6.0,-0.0999999999999978,-0.0166666666666663,2003.0,2009,PSME,Snag,0,0,27.8,Burn,psme
mechburn,380,0380-00103,2009,post_7,0380-00103-20,Live,PSME,71.5,24.69136,6.0,3.200000000000003,0.5333333333333338,2003.0,2009,PSME,Live,0,0,71.5,Burn+Thin,psme
burn,340,0340-00112,2009,post_7,0340-00112-28,Snag,PSME,21.8,24.69136,6.0,-1.099999999999998,-0.183333333333333,2003.0,2009,PSME,Snag,0,0,21.8,Burn,psme
burn,400,0400-00101,2009,post_7,0400-00101-2,Live,PSME,68.1,24.69136,6.0,3.299999999999997,0.5499999999999995,2003.0,2009,PSME,Live,0,0,68.1,Burn,psme
mechburn,570,0570-00103,2009,post_7,0570-00103-3,Live,PSME,62.3,24.69136,6.0,3.899999999999999,0.6499999999999998,2003.0,2009,PSME,Live,0,0,62.3,Burn+Thin,psme
mechburn,380,0380-00004,2009,post_7,0380-00004-12,Live,PSME,79.8,24.69136,6.0,3.899999999999992,0.6499999999999986,2003.0,2009,PSME,Live,0,0,79.8,Burn+Thin,psme
burn,400,0400-00116,2009,post_7,0400-00116-13,Snag,PSME,49.1,24.69136,6.0,-1.3999999999999986,-0.2333333333333331,2003.0,2009,PSME,Snag,0,0,49.1,Burn,psme
burn,400,0400-00112,2009,post_7,0400-00112-19,Live,PSME,57.1,24.69136,6.0,4.5,0.75,2003.0,2009,PSME,Live,0,0,57.1,Burn,psme
mechburn,180,0180-00004,2009,post_7,0180-00004-38,Live,PSME,30.7,24.69136,6.0,3.3000000000000007,0.5500000000000002,2003.0,2009,PSME,Live,0,0,30.7,Burn+Thin,psme
mechburn,380,0380-00010,2009,post_7,0380-00010-1,Snag,PSME,41.8,24.69136,6.0,-0.6000000000000014,-0.1000000000000002,2003.0,2009,PSME,Snag,0,0,41.8,Burn+Thin,psme
burn,60,0060-00104,2009,post_7,0060-00104-5,Live,PSME,69.1,24.69136,6.0,6.099999999999994,1.0166666666666655,2003.0,2009,PSME,Live,0,0,69.1,Burn,psme
mechburn,380,0380-00006,2009,post_7,0380-00006-14,Live,PSME,46.5,24.69136,6.0,5.399999999999999,0.8999999999999998,2003.0,2009,PSME,Live,0,0,46.5,Burn+Thin,psme
burn,400,0400-00103,2009,post_7,0400-00103-9,Snag,PSME,45.8,24.69136,6.0,0.5999999999999943,0.099999999999999,2003.0,2009,PSME,Snag,0,0,45.8,Burn,psme
mechburn,380,0380-00107,2009,post_7,0380-00107-8,Live,PSME,26.1,24.69136,6.0,4.300000000000001,0.7166666666666668,2003.0,2009,PSME,Live,0,0,26.1,Burn+Thin,psme
burn,400,0400-00104,2009,post_7,0400-00104-7,Snag,PSME,50.9,24.69136,6.0,0.1000000000000014,0.0166666666666669,2003.0,2009,PSME,Snag,0,0,50.9,Burn,psme
burn,400,0400-00104,2009,post_7,0400-00104-8,Snag,PSME,28.6,24.69136,6.0,-0.5999999999999979,-0.0999999999999996,2003.0,2009,PSME,Snag,0,0,28.6,Burn,psme
burn,340,0340-00114,2009,post_7,0340-00114-17,Live,PSME,73.8,24.69136,6.0,6.0,1.0,2003.0,2009,PSME,Live,0,0,73.8,Burn,psme
burn,340,0340-00024,2009,post_7,0340-00024-10,Live,PSME,72.7,24.69136,6.0,4.900000000000006,0.8166666666666677,2003.0,2009,PSME,Live,0,0,72.7,Burn,psme
mechburn,180,0180-00121,2009,post_7,0180-00121-25,Live,PSME,56.8,24.69136,6.0,3.0,0.5,2003.0,2009,PSME,Live,0,0,56.8,Burn+Thin,psme
mechburn,380,0380-00010,2009,post_7,0380-00010-12,Live,PSME,61.9,24.69136,6.0,5.299999999999997,0.8833333333333329,2003.0,2009,PSME,Live,0,0,61.9,Burn+Thin,psme
burn,340,0340-00025,2009,post_7,0340-00025-16,Live,PSME,71.7,24.69136,6.0,4.900000000000006,0.8166666666666677,2003.0,2009,PSME,Live,0,0,71.7,Burn,psme
mechburn,380,0380-00107,2009,post_7,0380-00107-2,Live,PSME,43.9,24.69136,6.0,1.1999999999999955,0.1999999999999993,2003.0,2009,PSME,Live,0,0,43.9,Burn+Thin,psme
mechburn,570,0570-00115,2009,post_7,0570-00115-24,Live,PSME,73.0,24.69136,6.0,5.400000000000006,0.9000000000000009,2003.0,2009,PSME,Live,0,0,73.0,Burn+Thin,psme
mechburn,570,0570-00011,2009,post_7,0570-00011-28,Live,PSME,22.0,24.69136,6.0,1.6999999999999993,0.2833333333333332,2003.0,2009,PSME,Live,0,0,22.0,Burn+Thin,psme
burn,400,0400-00104,2009,post_7,0400-00104-9,Snag,PSME,23.2,24.69136,6.0,0.3000000000000007,0.0500000000000001,2003.0,2009,PSME,Snag,0,0,23.2,Burn,psme
mechburn,380,0380-00104,2009,post_7,0380-00104-9,Live,PSME,57.8,24.69136,6.0,4.5,0.75,2003.0,2009,PSME,Live,0,0,57.8,Burn+Thin,psme
mechburn,180,0180-00120,2009,post_7,0180-00120-5,Live,PIPO,80.7,24.69136,6.0,3.0,0.5,2003.0,2009,PSME,Live,0,0,80.7,Burn+Thin,psme
control,590,0590-00118,2009,post_7,0590-00118-15,Live,PIPO,15.6,24.69136,6.0,-0.0999999999999996,-0.0166666666666666,2003.0,2009,PIPO,Live,0,0,15.6,None,pine
control,590,0590-00118,2009,post_7,0590-00118-3,Live,PIPO,88.9,24.69136,6.0,5.1000000000000085,0.8500000000000014,2003.0,2009,PIPO,Live,0,0,88.9,None,pine
mechburn,570,0570-00013,2009,post_7,0570-00013-9,Live,PIPO,67.6,24.69136,6.0,0.5,0.0833333333333333,2003.0,2009,PIPO,Live,0,0,67.6,Burn+Thin,pine
mechburn,380,0380-00015,2009,post_7,0380-00015-13,Live,PIPO,88.3,24.69136,6.0,3.5,0.5833333333333334,2003.0,2009,PIPO,Live,0,0,88.3,Burn+Thin,pine
mechburn,570,0570-00023,2009,post_7,0570-00023-34,Live,PIPO,70.9,24.69136,6.0,3.1000000000000085,0.516666666666668,2003.0,2009,PIPO,Live,0,0,70.9,Burn+Thin,pine
mechburn,380,0380-00113,2009,post_7,0380-00113-9,Live,PIPO,71.0,24.69136,6.0,4.5,0.75,2003.0,2009,PIPO,Live,0,0,71.0,Burn+Thin,pine
burn,400,0400-00121,2009,post_7,0400-00121-5,Live,PIPO,72.2,24.69136,6.0,3.6000000000000085,0.6000000000000014,2003.0,2009,PIPO,Live,0,0,72.2,Burn,pine
control,590,0590-00106,2009,post_7,0590-00106-14,Live,PIPO,87.1,24.69136,6.0,2.0,0.3333333333333333,2003.0,2009,PIPO,Live,0,0,87.1,None,pine
burn,60,0060-00106,2009,post_7,0060-00106-17,Live,PIPO,63.5,24.69136,6.0,3.6000000000000014,0.6000000000000002,2003.0,2009,PIPO,Live,0,0,63.5,Burn,pine
mechburn,570,0570-00017,2009,post_7,0570-00017-1,Live,PIPO,108.5,24.69136,6.0,4.099999999999994,0.6833333333333323,2003.0,2009,PIPO,Live,0,0,108.5,Burn+Thin,pine
mechburn,570,0570-00111,2009,post_7,0570-00111-13,Live,PIPO,70.6,24.69136,6.0,5.599999999999994,0.9333333333333323,2003.0,2009,PIPO,Live,0,0,70.6,Burn+Thin,pine
mechburn,180,0180-00108,2009,post_7,0180-00108-10,Live,PIPO,58.5,24.69136,6.0,4.100000000000001,0.6833333333333336,2003.0,2009,PIPO,Live,0,0,58.5,Burn+Thin,pine
burn,400,0400-00119,2009,post_7,0400-00119-36,Live,PIPO,36.0,24.69136,6.0,5.5,0.9166666666666666,2003.0,2009,PIPO,Live,0,0,36.0,Burn,pine
mechburn,570,0570-00119,2009,post_7,0570-00119-9,Live,PIPO,41.5,24.69136,6.0,3.700000000000003,0.6166666666666671,2003.0,2009,PIPO,Live,0,0,41.5,Burn+Thin,pine
mechburn,380,0380-00120,2009,post_7,0380-00120-10,Live,PIPO,77.9,24.69136,6.0,4.700000000000003,0.7833333333333338,2003.0,2009,PIPO,Live,0,0,77.9,Burn+Thin,pine
burn,400,0400-00009,2009,post_7,0400-00009-13,Live,PIPO,75.6,24.69136,6.0,2.3999999999999915,0.3999999999999986,2003.0,2009,PIPO,Live,0,0,75.6,Burn,pine
control,590,0590-00109,2009,post_7,0590-00109-6,Live,PIPO,58.8,24.69136,6.0,4.099999999999994,0.6833333333333323,2003.0,2009,PIPO,Live,0,0,58.8,None,pine
mechburn,570,0570-00104,2009,post_7,0570-00104-16,Live,PIPO,81.3,24.69136,6.0,2.0999999999999943,0.349999999999999,2003.0,2009,PIPO,Live,0,0,81.3,Burn+Thin,pine
mech,490,0490-00122,2009,post_7,0490-00122-13,Live,PIPO,52.5,24.69136,6.0,2.5,0.4166666666666667,2003.0,2009,PIPO,Live,0,0,52.5,Thin,pine
burn,400,0400-00104,2009,post_7,0400-00104-5,Live,PIPO,61.1,24.69136,6.0,5.200000000000003,0.8666666666666671,2003.0,2009,PIPO,Live,0,0,61.1,Burn,pine
mechburn,380,0380-00125,2009,post_7,0380-00125-16,Live,PIPO,84.4,24.69136,6.0,3.1000000000000085,0.516666666666668,2003.0,2009,PIPO,Live,0,0,84.4,Burn+Thin,pine
mechburn,380,0380-00002,2009,post_7,0380-00002-19,Live,PIPO,52.1,24.69136,6.0,2.8000000000000043,0.4666666666666674,2003.0,2009,PIPO,Live,0,0,52.1,Burn+Thin,pine
burn,400,0400-00105,2009,post_7,0400-00105-7,Live,PIPO,47.7,24.69136,6.0,5.300000000000004,0.8833333333333341,2003.0,2009,PIPO,Live,0,0,47.7,Burn,pine
burn,60,0060-00119,2009,post_7,0060-00119-3,Live,PIPO,33.2,24.69136,6.0,2.200000000000003,0.3666666666666671,2003.0,2009,PIPO,Live,0,0,33.2,Burn,pine
burn,400,0400-00110,2009,post_7,0400-00110-10,Live,PIPO,61.1,24.69136,6.0,2.3999999999999986,0.3999999999999997,2003.0,2009,PIPO,Live,0,0,61.1,Burn,pine
control,40,0040-00104,2009,post_7,0040-00104-5,Live,PIPO,104.9,24.69136,6.0,5.1000000000000085,0.8500000000000014,2003.0,2009,PIPO,Live,0,0,104.9,None,pine
control,590,0590-00102,2009,post_7,0590-00102-23,Live,PIPO,65.2,24.69136,6.0,5.300000000000004,0.8833333333333341,2003.0,2009,PIPO,Live,0,0,65.2,None,pine
control,590,0590-00104,2009,post_7,0590-00104-11,Live,PIPO,18.6,24.69136,6.0,1.7000000000000028,0.2833333333333338,2003.0,2009,PIPO,Live,0,0,18.6,None,pine
burn,60,0060-00021,2009,post_7,0060-00021-9,Live,PIPO,76.7,24.69136,6.0,4.799999999999997,0.7999999999999995,2003.0,2009,PIPO,Live,0,0,76.7,Burn,pine
control,590,0590-00105,2009,post_7,0590-00105-9,Live,PIPO,39.6,24.69136,6.0,2.5,0.4166666666666667,2003.0,2009,PIPO,Live,0,0,39.6,None,pine
control,590,0590-00109,2009,post_7,0590-00109-16,Live,PIPO,95.3,24.69136,6.0,5.399999999999992,0.8999999999999986,2003.0,2009,PIPO,Live,0,0,95.3,None,pine
control,40,0040-00005,2009,post_7,0040-00005-5,Live,PIPO,85.9,24.69136,6.0,3.300000000000012,0.5500000000000019,2003.0,2009,PIPO,Live,0,0,85.9,None,pine
mechburn,570,0570-00102,2009,post_7,0570-00102-14,Live,PIPO,54.5,24.69136,6.0,6.0,1.0,2003.0,2009,PIPO,Live,0,0,54.5,Burn+Thin,pine
