comp,Treatment,PFT_simple,Timeframe,Mortality_frac_yr,Total_count,SE_unit
180,Burn+Thin,cedar,2003-2009,0.012122364651073414,16,0.01732034700100744
180,Burn+Thin,fir,2003-2009,0.03986065059502216,40,0.024229851342974642
180,Burn+Thin,oak,2003-2009,0.0,3,0.0
180,Burn+Thin,pine,2003-2009,0.0050265180627640646,37,0.007760899343954307
180,Burn+Thin,psme,2003-2009,0.015585897408522962,13,0.02226901757272385
190,Thin,cedar,2003-2009,0.0014505671789425134,50,0.0034463959886319537
190,Thin,fir,2003-2009,0.01456087978606646,26,0.02358686912954067
190,Thin,oak,2003-2009,0.006687958143294782,13,0.015088851909379915
190,Thin,other_hardwood,2003-2009,0.0,11,0.0
190,Thin,pine,2003-2009,0.0,11,0.0
190,Thin,psme,2003-2009,0.0,23,0.0
240,None,cedar,2003-2009,0.008850116095425617,236,0.005949217381845846
240,None,fir,2003-2009,0.013033696229080634,101,0.010011446419873126
240,None,oak,2003-2009,0.0,26,0.0
240,None,other_hardwood,2003-2009,0.0,3,0.0
240,None,pine,2003-2009,0.0050265180627640646,36,0.010975569108432635
240,None,psme,2003-2009,0.0013251861837359046,43,0.0031715380878153633
340,Burn,cedar,2003-2009,0.04043427117015466,93,0.022678145053140145
340,Burn,fir,2003-2009,0.06581790014022343,143,0.02418619021019284
340,Burn,oak,2003-2009,0.024920859525084795,13,0.037513905692244075
340,Burn,other_hardwood,2003-2009,0.0747477392183523,67,0.030189699326135962
340,Burn,pine,2003-2009,0.01363766023245759,13,0.027556503338061995
340,Burn,psme,2003-2009,0.02133834287559569,28,0.024144819185976205
350,Thin,cedar,2003-2009,0.0029259816876914674,49,0.006601372710353713
350,Thin,fir,2003-2009,0.018130427630234702,51,0.019158058217670942
350,Thin,oak,2003-2009,0.0,18,0.0
350,Thin,pine,2003-2009,0.0,15,0.0
350,Thin,psme,2003-2009,0.0,15,0.0
380,Burn+Thin,cedar,2003-2009,0.03595134879657604,40,0.03182209848392532
380,Burn+Thin,fir,2003-2009,0.027922579210931386,41,0.02181515818745076
380,Burn+Thin,oak,2003-2009,0.0,9,0.0
380,Burn+Thin,other_hardwood,2003-2009,0.0,1,0.0
380,Burn+Thin,pine,2003-2009,0.008206157308564431,32,0.012865713332964834
380,Burn+Thin,psme,2003-2009,0.014537168056299463,27,0.021883111653809045
400,Burn,cedar,2003-2009,0.04632486686097969,140,0.02368759745136855
400,Burn,fir,2003-2009,0.08165798831703,93,0.029903878676298522
400,Burn,pine,2003-2009,0.016679252855014957,37,0.017963526188499907
400,Burn,psme,2003-2009,0.035283476448407326,74,0.019236988808280005
400,Burn,unknown,2003-2009,0.0,1,0.0
490,Thin,cedar,2003-2009,0.0,40,0.0
490,Thin,fir,2003-2009,0.005138479189292209,47,0.008930506688546086
490,Thin,oak,2003-2009,0.0,4,0.0
490,Thin,other_hardwood,2003-2009,0.0,11,0.0
490,Thin,pine,2003-2009,0.0,26,0.0
490,Thin,psme,2003-2009,0.0,45,0.0
570,Burn+Thin,cedar,2003-2009,0.00790675550043568,44,0.010079746277298383
570,Burn+Thin,fir,2003-2009,0.025851284128925393,18,0.028717203784859407
570,Burn+Thin,oak,2003-2009,0.027537099004551226,29,0.027071223763947234
570,Burn+Thin,pine,2003-2009,0.008565223403568507,35,0.013874628899729805
570,Burn+Thin,psme,2003-2009,0.0,11,0.0
590,None,cedar,2003-2009,0.00400937570467784,156,0.004546128351603231
590,None,fir,2003-2009,0.0,64,0.0
590,None,oak,2003-2009,0.0,9,0.0
590,None,pine,2003-2009,0.0,45,0.0
590,None,psme,2003-2009,0.0,50,0.0
40,None,cedar,2009-2016,0.009175276531035776,88,0.011138757821885191
40,None,fir,2009-2016,0.022893854705439615,101,0.015022611763082071
40,None,oak,2009-2016,0.01178454196701166,42,0.025828204704394366
40,None,other_hardwood,2009-2016,0.003938528023177808,58,0.007730624502991556
40,None,pine,2009-2016,0.0,12,0.0
40,None,psme,2009-2016,0.004422974761660564,72,0.00638963840008655
60,Burn,cedar,2009-2016,0.011555468235491837,91,0.012484678685182972
60,Burn,fir,2009-2016,0.02259699432576671,49,0.021924124713146812
60,Burn,oak,2009-2016,0.0,4,0.0
60,Burn,pine,2009-2016,0.010349286611337742,21,0.01760092560792026
60,Burn,psme,2009-2016,0.0,21,0.0
180,Burn+Thin,cedar,2009-2016,0.0,12,0.0
180,Burn+Thin,fir,2009-2016,0.05829110445299189,22,0.046545288039059884
180,Burn+Thin,oak,2009-2016,0.09427633573609329,2,0.20662563763515493
180,Burn+Thin,pine,2009-2016,0.007856361311341107,34,0.017218803136262912
180,Burn+Thin,psme,2009-2016,0.0,9,0.0
190,Thin,cedar,2009-2016,0.011211727162282553,49,0.01816677183927136
190,Thin,fir,2009-2016,0.00591595096380162,24,0.010944429637547834
190,Thin,oak,2009-2016,0.009379657094083671,11,0.02217579923508722
190,Thin,other_hardwood,2009-2016,0.0,11,0.0
190,Thin,pine,2009-2016,0.026936095924598082,11,0.04174468272537496
190,Thin,psme,2009-2016,0.013892752303663764,25,0.01929928475455491
240,None,cedar,2009-2016,0.011472591234380929,217,0.006444802193859282
240,None,fir,2009-2016,0.028532302930394507,88,0.020327237096524765
240,None,oak,2009-2016,0.003660399110117941,25,0.00893539358142543
240,None,other_hardwood,2009-2016,0.1452486000928478,3,0.20343012253508228
240,None,pine,2009-2016,0.010470937484091327,34,0.018403702053624748
240,None,psme,2009-2016,0.0,42,0.0
340,Burn,cedar,2009-2016,0.010033036519558912,68,0.009880606255092505
340,Burn,fir,2009-2016,0.013862240538094575,91,0.010833720248738916
340,Burn,oak,2009-2016,0.0,10,0.0
340,Burn,other_hardwood,2009-2016,0.05629348211024982,38,0.03021287021518333
340,Burn,pine,2009-2016,0.0,11,0.0
340,Burn,psme,2009-2016,0.0,24,0.0
350,Thin,cedar,2009-2016,0.0066643497912083766,47,0.009346581626340967
350,Thin,fir,2009-2016,0.01612952965871433,48,0.01706621662991623
350,Thin,oak,2009-2016,0.0,18,0.0
350,Thin,pine,2009-2016,0.0,14,0.0
350,Thin,psme,2009-2016,0.0,15,0.0
380,Burn+Thin,cedar,2009-2016,0.01789712804407605,29,0.019806947045202188
380,Burn+Thin,fir,2009-2016,0.015055427830059531,21,0.02457595017692512
380,Burn+Thin,oak,2009-2016,0.0,9,0.0
380,Burn+Thin,other_hardwood,2009-2016,0.0,1,0.0
380,Burn+Thin,pine,2009-2016,0.0,29,0.0
380,Burn+Thin,psme,2009-2016,0.003355365850941446,26,0.008190777449639978
400,Burn,cedar,2009-2016,0.025317819886310336,110,0.01585825921801559
400,Burn,fir,2009-2016,0.03844578567797131,49,0.023308172734603606
400,Burn,pine,2009-2016,0.0,32,0.0
400,Burn,psme,2009-2016,0.03335273127435928,52,0.021690224483939424
490,Thin,cedar,2009-2016,0.004077470082872047,38,0.007232609609474872
490,Thin,fir,2009-2016,0.008856134017682078,46,0.014456441280544187
490,Thin,oak,2009-2016,0.0,4,0.0
490,Thin,other_hardwood,2009-2016,0.0,11,0.0
490,Thin,pine,2009-2016,0.0,26,0.0
490,Thin,psme,2009-2016,0.0035173714102813766,44,0.008315924713157707
570,Burn+Thin,cedar,2009-2016,0.0070580001660764296,43,0.012734843647203904
570,Burn+Thin,fir,2009-2016,0.0,13,0.0
570,Burn+Thin,oak,2009-2016,0.025917727658907815,23,0.02639338598784391
570,Burn+Thin,pine,2009-2016,0.0055456668080054875,33,0.012154449272656173
