Unit,Treatment,Year,PFT,BAperTree_m2ha
60,Burn,2020,psme,8.016152322544448
60,Burn,2020,unknown,0.0
180,Burn+Thin,2001,cedar,7.2971147011716075
180,Burn+Thin,2001,fir,11.826790479965075
180,Burn+Thin,2001,oak,4.054229001011519
180,Burn+Thin,2001,other_hardwood,0.0
180,Burn+Thin,2001,pine,23.773181964938473
180,Burn+Thin,2001,psme,5.180624957632794
180,Burn+Thin,2001,unknown,0.0
180,Burn+Thin,2003,cedar,3.4015827621823242
180,Burn+Thin,2003,fir,8.13165792745902
180,Burn+Thin,2003,oak,2.4357332348211607
180,Burn+Thin,2003,other_hardwood,0.0
180,Burn+Thin,2003,pine,22.112250836001287
180,Burn+Thin,2003,psme,4.004432303082861
180,Burn+Thin,2003,unknown,0.0
180,Burn+Thin,2009,cedar,3.726159597867993
180,Burn+Thin,2009,fir,7.592518903825582
180,Burn+Thin,2009,oak,1.5727168707413295
180,Burn+Thin,2009,other_hardwood,0.0
180,Burn+Thin,2009,pine,23.970921360558584
180,Burn+Thin,2009,psme,4.175741141550777
180,Burn+Thin,2009,unknown,0.0
180,Burn+Thin,2016,cedar,4.430958972098596
180,Burn+Thin,2016,fir,5.265846634259693
180,Burn+Thin,2016,oak,0.5476320253389817
180,Burn+Thin,2016,other_hardwood,0.0
180,Burn+Thin,2016,pine,27.01272613947046
180,Burn+Thin,2016,psme,4.718333368486125
180,Burn+Thin,2016,unknown,0.0
180,Burn+Thin,2020,cedar,3.248898569352684
180,Burn+Thin,2020,fir,3.590258952896017
180,Burn+Thin,2020,oak,0.5362991958767916
180,Burn+Thin,2020,other_hardwood,0.0
180,Burn+Thin,2020,pine,20.214495274744408
180,Burn+Thin,2020,psme,2.233330104371525
180,Burn+Thin,2020,unknown,0.0
190,Thin,2001,cedar,14.87487600856937
190,Thin,2001,fir,7.4782388934577915
190,Thin,2001,oak,7.440058569406664
190,Thin,2001,other_hardwood,0.5880205924520678
190,Thin,2001,pine,8.133588990130857
190,Thin,2001,psme,12.727171539832659
190,Thin,2001,unknown,0.0
190,Thin,2003,cedar,11.222533319335332
190,Thin,2003,fir,6.424754728628697
190,Thin,2003,oak,6.924433455162476
190,Thin,2003,other_hardwood,0.6258515389868584
190,Thin,2003,pine,7.820989301124909
190,Thin,2003,psme,10.950020788204672
190,Thin,2003,unknown,0.0
190,Thin,2009,cedar,13.166712140499538
190,Thin,2009,fir,7.405354463477402
190,Thin,2009,oak,5.589868065956887
190,Thin,2009,other_hardwood,0.7670282613542702
190,Thin,2009,pine,9.306475959910921
190,Thin,2009,psme,13.367603242590553
190,Thin,2009,unknown,0.0
190,Thin,2016,cedar,15.451385964676858
190,Thin,2016,fir,7.323452243743977
190,Thin,2016,oak,5.478430780523736
190,Thin,2016,other_hardwood,0.9332194512799754
190,Thin,2016,pine,9.14709246101587
190,Thin,2016,psme,14.77503814126473
190,Thin,2016,unknown,0.0
190,Thin,2020,cedar,13.385438121579048
190,Thin,2020,fir,5.7826905250261
190,Thin,2020,oak,4.6687122289259335
190,Thin,2020,other_hardwood,1.1740321807210614
190,Thin,2020,pine,9.15469639371922
190,Thin,2020,psme,14.93682260066229
190,Thin,2020,unknown,0.0
240,None,2001,cedar,13.362244510574616
240,None,2001,fir,13.909498315301612
240,None,2001,oak,5.034080432296808
240,None,2001,other_hardwood,0.19848538752149014
240,None,2001,pine,10.06489928055395
240,None,2001,psme,8.379373735379206
240,None,2001,unknown,0.0
240,None,2003,cedar,14.089224996440272
240,None,2003,fir,14.089907308688218
240,None,2003,oak,5.221108824109737
240,None,2003,other_hardwood,0.21489475498258429
240,None,2003,pine,10.67093912668383
240,None,2003,psme,8.722445470628253
240,None,2003,unknown,0.0
240,None,2009,cedar,15.772846872307648
240,None,2009,fir,15.561366454553394
240,None,2009,oak,5.518854358684492
240,None,2009,other_hardwood,0.237916738647172
240,None,2009,pine,12.254765662795096
240,None,2009,psme,9.814590886434123
240,None,2009,unknown,0.0
240,None,2016,cedar,17.740205757141492
240,None,2016,fir,15.202074109160545
240,None,2016,oak,5.783214323828897
240,None,2016,other_hardwood,0.13597354449503823
240,None,2016,pine,13.620311113348492
240,None,2016,psme,11.377834938979257
240,None,2016,unknown,0.0
240,None,2020,cedar,18.13864281727251
240,None,2020,fir,13.753495690639348
240,None,2020,oak,5.999515078968642
240,None,2020,other_hardwood,0.14190624456280482
240,None,2020,pine,14.084158219546731
240,None,2020,psme,12.010712580372033
240,None,2020,unknown,0.0
340,Burn,2001,cedar,7.6700464019284
340,Burn,2001,fir,18.229770741866112
340,Burn,2001,oak,3.3004496859462824
340,Burn,2001,other_hardwood,6.896271395038456
340,Burn,2001,pine,6.411861015279807
340,Burn,2001,psme,7.8826414674553265
340,Burn,2001,unknown,0.0
340,Burn,2003,cedar,7.541212523364718
340,Burn,2003,fir,19.083913824758035
340,Burn,2003,oak,3.248695437636895
340,Burn,2003,other_hardwood,5.631827121338363
340,Burn,2003,pine,6.559163422572702
340,Burn,2003,psme,8.261907622566074
340,Burn,2003,unknown,0.0
340,Burn,2009,cedar,7.275439923208458
340,Burn,2009,fir,18.188238886985655
340,Burn,2009,oak,3.2720767409612366
340,Burn,2009,other_hardwood,4.092131580066302
340,Burn,2009,pine,7.338929299390887
340,Burn,2009,psme,8.780814162832371
340,Burn,2009,unknown,0.0
340,Burn,2016,cedar,7.800856648358308
340,Burn,2016,fir,19.726837885579812
340,Burn,2016,oak,2.8260026185790754
340,Burn,2016,other_hardwood,2.121159847467479
340,Burn,2016,pine,8.256380338223469
340,Burn,2016,psme,9.799386952040704
340,Burn,2016,unknown,0.0
340,Burn,2020,cedar,7.109980002139336
340,Burn,2020,fir,19.167413827125706
340,Burn,2020,oak,1.8668433637084447
340,Burn,2020,other_hardwood,0.9146069997709834
340,Burn,2020,pine,7.693363548752648
340,Burn,2020,psme,10.190520788999551
340,Burn,2020,unknown,0.0
350,Thin,2001,cedar,11.365199988218603
350,Thin,2001,fir,14.775917407477625
350,Thin,2001,oak,7.269527590682271
350,Thin,2001,other_hardwood,0.0
350,Thin,2001,pine,9.883903247134741
350,Thin,2001,psme,9.559196546440255
350,Thin,2001,unknown,0.0
350,Thin,2003,cedar,5.406225887892184
350,Thin,2003,fir,9.651100836528045
350,Thin,2003,oak,6.382658294568472
350,Thin,2003,other_hardwood,0.0
350,Thin,2003,pine,9.123264760838397
350,Thin,2003,psme,7.333351730808669
350,Thin,2003,unknown,0.0
350,Thin,2009,cedar,6.153507268268032
350,Thin,2009,fir,11.629458750266664
350,Thin,2009,oak,6.823484958723973
350,Thin,2009,other_hardwood,0.0
350,Thin,2009,pine,10.817978437860626
350,Thin,2009,psme,8.645956351993087
350,Thin,2009,unknown,0.0
350,Thin,2016,cedar,7.753332330346338
350,Thin,2016,fir,13.124186127039858
350,Thin,2016,oak,7.430276506099383
350,Thin,2016,other_hardwood,0.0
350,Thin,2016,pine,12.218669635151311
350,Thin,2016,psme,10.217422847028837
350,Thin,2016,unknown,0.0
350,Thin,2020,cedar,8.193787806551837
350,Thin,2020,fir,9.627352683885558
350,Thin,2020,oak,6.020497073960945
350,Thin,2020,other_hardwood,0.0
