Unit,Treatment,Year,Size_class,TPH
350,Thin,2001,30,147.05882352941177
350,Thin,2001,40,66.17647058823529
350,Thin,2001,50,36.76470588235294
350,Thin,2001,60,42.64705882352941
350,Thin,2001,70,19.11764705882353
350,Thin,2001,80.0,13.235294117647058
350,Thin,2001,90.0,13.235294117647058
350,Thin,2001,100.0,1.4705882352941178
350,Thin,2001,152.9,0.0
350,Thin,2003,20.0,27.941176470588236
350,Thin,2003,30,55.88235294117647
350,Thin,2003,40,13.235294117647058
350,Thin,2003,50,20.58823529411765
350,Thin,2003,60,35.294117647058826
350,Thin,2003,70,20.58823529411765
350,Thin,2003,80.0,13.235294117647058
350,Thin,2003,90.0,11.764705882352942
350,Thin,2003,100.0,2.9411764705882355
350,Thin,2003,152.9,0.0
350,Thin,2009,20.0,19.11764705882353
350,Thin,2009,30,51.470588235294116
350,Thin,2009,40,16.176470588235293
350,Thin,2009,50,16.176470588235293
350,Thin,2009,60,33.8235294117647
350,Thin,2009,70,25.0
350,Thin,2009,80.0,19.11764705882353
350,Thin,2009,90.0,8.823529411764707
350,Thin,2009,100.0,8.823529411764707
350,Thin,2009,152.9,1.4705882352941178
350,Thin,2016,20.0,14.705882352941176
350,Thin,2016,30,47.05882352941177
350,Thin,2016,40,22.058823529411764
350,Thin,2016,50,13.235294117647058
350,Thin,2016,60,19.11764705882353
350,Thin,2016,70,30.88235294117647
350,Thin,2016,80.0,22.058823529411764
350,Thin,2016,90.0,16.176470588235293
350,Thin,2016,100.0,5.882352941176471
350,Thin,2016,152.9,7.352941176470588
350,Thin,2020,20.0,19.11764705882353
350,Thin,2020,30,29.41176470588235
350,Thin,2020,40,25.0
350,Thin,2020,50,7.352941176470588
350,Thin,2020,60,14.705882352941176
350,Thin,2020,70,26.470588235294116
350,Thin,2020,80.0,16.176470588235293
350,Thin,2020,90.0,14.705882352941176
350,Thin,2020,100.0,5.882352941176471
350,Thin,2020,152.9,8.823529411764707
380,Burn+Thin,2001,20.0,81.25
380,Burn+Thin,2001,30,100.0
380,Burn+Thin,2001,40,27.5
380,Burn+Thin,2001,50,22.5
380,Burn+Thin,2001,60,31.25
380,Burn+Thin,2001,70,27.5
380,Burn+Thin,2001,80.0,21.25
380,Burn+Thin,2001,90.0,15.0
380,Burn+Thin,2001,100.0,6.25
380,Burn+Thin,2001,152.9,5.0
380,Burn+Thin,2003,20.0,23.75
380,Burn+Thin,2003,30,27.5
380,Burn+Thin,2003,40,13.75
380,Burn+Thin,2003,50,20.0
380,Burn+Thin,2003,60,20.0
380,Burn+Thin,2003,70,21.25
380,Burn+Thin,2003,80.0,18.75
380,Burn+Thin,2003,90.0,17.5
380,Burn+Thin,2003,100.0,5.0
380,Burn+Thin,2003,152.9,5.0
380,Burn+Thin,2009,20.0,8.75
380,Burn+Thin,2009,30,16.25
380,Burn+Thin,2009,40,15.0
380,Burn+Thin,2009,50,16.25
380,Burn+Thin,2009,60,12.5
380,Burn+Thin,2009,70,16.25
380,Burn+Thin,2009,80.0,21.25
380,Burn+Thin,2009,90.0,16.25
380,Burn+Thin,2009,100.0,6.25
380,Burn+Thin,2009,152.9,7.5
380,Burn+Thin,2016,20.0,6.25
380,Burn+Thin,2016,30,17.5
380,Burn+Thin,2016,40,16.25
380,Burn+Thin,2016,50,13.75
380,Burn+Thin,2016,60,13.75
380,Burn+Thin,2016,70,16.25
380,Burn+Thin,2016,80.0,16.25
380,Burn+Thin,2016,90.0,16.25
380,Burn+Thin,2016,100.0,8.75
380,Burn+Thin,2016,152.9,8.75
380,Burn+Thin,2020,20.0,1.25
380,Burn+Thin,2020,30,3.75
380,Burn+Thin,2020,40,5.0
380,Burn+Thin,2020,50,6.25
380,Burn+Thin,2020,60,10.0
380,Burn+Thin,2020,70,12.5
