"Site","PFT","Treatment","Mean","SD","low_ci","upper_ci","DBH"
"Blodgett","cedar","Burn+Thin",0.166434654193734,0.205158467641851,-0.246663502490249,0.577929677999897,70
"Blodgett","cedar","Thin",0.516569418724764,0.197824425947383,0.119640529473923,0.906315620257007,70
"Blodgett","cedar","None",-0.955537287942656,0.154723452498613,-1.2604377358036,-0.649272000977506,80
"Blodgett","cedar","Burn",0.15269447590908,0.201833815668104,-0.240251172359907,0.5525088775886,80
"Blodgett","cedar","Burn+Thin",0.05452973672904,0.219275117978987,-0.389119285318709,0.489917747161346,80
"Blodgett","cedar","Thin",0.483499115330738,0.209453277512727,0.0631088789875155,0.89522462616629,80
"Blodgett","cedar","None",-0.993278144898006,0.184322186133382,-1.35142013247967,-0.632128032079361,90
"Blodgett","cedar","Burn",0.1436116470461,0.211860346061918,-0.269813498410963,0.556945091147164,90
"Blodgett","cedar","Burn+Thin",-0.0441773959145255,0.232820413526572,-0.512757939566591,0.418645125333538,90
"Blodgett","cedar","Thin",0.454329040434727,0.220665403874309,0.0169777665458403,0.887295945597306,90
"Blodgett","cedar","None",-1.07338021729823,0.225023224060766,-1.50803951921593,-0.629647593402402,100
"Blodgett","cedar","Burn",0.135486779765321,0.221407867671552,-0.294948382866601,0.568315766943979,100
"Blodgett","cedar","Burn+Thin",-0.132473934855598,0.245661313928397,-0.621201992257834,0.355335400692027,100
"Blodgett","cedar","Thin",0.428235519277848,0.231342575983386,-0.0280664993416315,0.87964823903599,100
"Blodgett","fir","None",-1.77568754803293,0.169149557053008,-2.09447807296519,-1.43176403102437,15
"Blodgett","fir","Burn",0.113722043334203,0.260851160153331,-0.410780130526108,0.620511566348136,15
"Blodgett","fir","Burn+Thin",0.628783524020839,0.311427601057669,0.0123291616958542,1.23392507882265,15
"Blodgett","fir","Thin",0.752924363153427,0.255938935979637,0.234203872283729,1.26999341014572,15
"Blodgett","fir","None",-1.47557309684149,0.158276898174321,-1.76871200267367,-1.14727977894352,20
"Blodgett","fir","Burn",0.0797395319570224,0.24712021391632,-0.429280365200436,0.559875343371431,20
"Blodgett","fir","Burn+Thin",0.46262402292013,0.279961347138445,-0.0964935994224832,1.00780140352093,20
"Blodgett","fir","Thin",0.630564795447251,0.242568537807196,0.137772449953164,1.12151286483311,20
"Blodgett","fir","None",-1.07963638298076,0.152454963049693,-1.36315910724784,-0.752019353642443,30
"Blodgett","fir","Burn",0.0318438722382717,0.234651976992456,-0.46778756352463,0.485147683574846,30
"Blodgett","fir","Burn+Thin",0.228435359362409,0.247318875409824,-0.281441419307675,0.712743164099244,30
"Blodgett","fir","Thin",0.458108670791209,0.231452004496096,-0.015960112655409,0.917878472424016,30
"Blodgett","fir","None",-0.835577267557036,0.152849198331701,-1.11777256443281,-0.502073837169372,40
"Blodgett","fir","Burn",-0.00213863913890892,0.23132795418814,-0.498225956104669,0.437346192105741,40
"Blodgett","fir","Burn+Thin",0.0622758582617001,0.235269181427442,-0.431044624106277,0.522436453956723,40
"Blodgett","fir","Thin",0.335749103085033,0.22969062618447,-0.13984323644774,0.793659798685292,40
"Blodgett","fir","None",-0.684391976639778,0.153811822831463,-0.967388131022276,-0.350022595733469,50
"Blodgett","fir","Burn",-0.0284975227726836,0.232081938170056,-0.525342235240898,0.411971735876253,50
"Blodgett","fir","Burn+Thin",-0.0666074636784403,0.233447579802208,-0.559076851545956,0.390688517298141,50
"Blodgett","fir","Thin",0.240839648899965,0.231949660519938,-0.238995214557508,0.700051671287044,50
"Blodgett","fir","None",-0.599798655889768,0.154738801200998,-0.883774094353288,-0.268091766834978,60
"Blodgett","fir","Burn",-0.0500342988576595,0.234847375195218,-0.551310300311981,0.399695711524668,60
"Blodgett","fir","Burn+Thin",-0.17191280529602,0.23700557982023,-0.674913140738763,0.288021599441407,60
"Blodgett","fir","Thin",0.16329297842899,0.236088234048406,-0.321298818238772,0.63113442495098,60
"Blodgett","fir","None",-0.567777763822874,0.157021350028597,-0.857106554547291,-0.233210337919231,70
"Blodgett","fir","Burn",-0.0682433835822837,0.238643488980926,-0.567723533929405,0.389290525160852,70
"Blodgett","fir","Burn+Thin",-0.260947203012012,0.243414817442602,-0.77551913701663,0.206111423837139,70
"Blodgett","fir","Thin",0.0977282027565747,0.241115289079581,-0.394539036462938,0.570647632235372,70
"Blodgett","fir","None",-0.579960883536893,0.163033061775348,-0.883035261153479,-0.238923131304777,80
"Blodgett","fir","Burn",-0.0840168102348402,0.242961646002364,-0.588923601227444,0.384932598735765,80
"Blodgett","fir","Burn+Thin",-0.33807230639673,0.251297359448925,-0.861442099708708,0.146437916276723,80
"Blodgett","fir","Thin",0.040933410722814,0.246532765400602,-0.456027549631682,0.527810207644878,80
"Blodgett","fir","None",-0.630950214544939,0.175382628430593,-0.960102931087435,-0.272078509840416,90
"Blodgett","fir","Burn",-0.0979299585764102,0.247522660762597,-0.605427331726323,0.383107260142198,90
"Blodgett","fir","Burn+Thin",-0.406101468853741,0.259883860899981,-0.945106581621065,0.0939124434277285,90
"Blodgett","fir","Thin",-0.0091631462270525,0.252077521340097,-0.51699361451956,0.488755957062075,90
