"Mean","2.5%","97.5%","SD","Naive SE","Time-series SE","parameter","site","pft","model"
0.117516928145769,0.0155712538229078,0.273276707046371,0.0704137243142037,0.000438368204103322,0.00532934453599451,"res_sd","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
0,0,0,0,0,0,"treat_mean[None]","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
0.0557044635620482,-0.421496778043474,0.548423887130301,0.247943719460677,0.00154360025800751,0.0142595155341754,"treat_mean[Burn]","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
0.0452895850478698,-0.432290496830402,0.57529076517458,0.253974539000556,0.00158114577284452,0.0132511838129141,"treat_mean[Burn+Thin]","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
0.383681141342365,-0.109120216996698,0.883144634894494,0.246239067930039,0.00153298776680092,0.0119245854006248,"treat_mean[Thin]","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
0,0,0,0,0,0,"treat_cwd[None]","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
-0.0826563086141232,-0.141465142718235,-0.0255519238387271,0.02959713995536,0.000184260173924768,0.000583681523802586,"treat_cwd[Burn]","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
-0.00797305972678251,-0.0902034146819156,0.0743387005039227,0.0420229818665372,0.00026161858744609,0.00108123166178262,"treat_cwd[Burn+Thin]","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
-0.0184975326851128,-0.0794772639353829,0.040816720819077,0.0307197716709834,0.000191249238256194,0.000588224841093184,"treat_cwd[Thin]","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
-1.68036633236864,-2.07904724164254,-1.34975927781294,0.178067786988959,0.0011085801347857,0.0097556401577174,"cntrl_growth_15cm","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
-1.09456387018797,-1.48454012173325,-0.775194424221382,0.171695169611851,0.00106890672079932,0.00964504546494884,"cntrl_growth_30cm","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
-0.831121153115621,-1.22229230177628,-0.509546265220055,0.172392078394747,0.00107324540128465,0.00982941277642217,"cntrl_growth_45cm","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
-0.728497335706759,-1.11900059743631,-0.405517448629028,0.173091652109923,0.00107760067259215,0.00988785200591309,"cntrl_growth_60cm","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
-0.736067269915208,-1.13003695338935,-0.409540277677502,0.177354308765888,0.00110413829947077,0.00931583897333184,"cntrl_growth_75cm","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
-0.831281164800186,-1.23657068944008,-0.474713231526268,0.191772152337643,0.00119389813329791,0.00920790093203082,"cntrl_growth_90cm","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
-1.00211027514941,-1.4564038345044,-0.586271124394251,0.222304138372948,0.00138397829190847,0.0104277635106225,"cntrl_growth_105cm","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
-1.2413745120234,-1.78233855404403,-0.731077460848553,0.271432357642753,0.00168983129800709,0.0115749710244682,"cntrl_growth_120cm","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
-0.744199982690318,-0.940641682549415,-0.514844526301973,0.105490426035163,0.000559877162650477,0.00222752063107168,"int_overall","Blodgett_FFS","yellow_pine","ddbh_model_noBAcwdIrctn"
0.834828855188797,0.653036839104894,1.0349482144216,0.0994519532790603,0.000527828728299647,0.00242107758500272,"slope_size","Blodgett_FFS","yellow_pine","ddbh_model_noBAcwdIrctn"
