Unit,Treatment,Year,PFT,BAperTree_m2ha
13,Burn+Thin,2016,other_hardwood,0.0
13,Burn+Thin,2016,pine,12.730771903250778
13,Burn+Thin,2016,psme,0.0
13,Burn+Thin,2018,cedar,11.601579329210878
13,Burn+Thin,2018,fir,7.487204100514069
13,Burn+Thin,2018,oak,0.0
13,Burn+Thin,2018,other_hardwood,0.0
13,Burn+Thin,2018,pine,13.195664347796683
13,Burn+Thin,2018,psme,0.0
14,Burn,2012,cedar,26.695375959598604
14,Burn,2012,fir,32.98583274477431
14,Burn,2012,oak,0.0
14,Burn,2012,other_hardwood,0.0
14,Burn,2012,pine,7.660961308673299
14,Burn,2012,psme,0.0
14,Burn,2014,cedar,26.872906487788335
14,Burn,2014,fir,34.41971235507338
14,Burn,2014,oak,0.0
14,Burn,2014,other_hardwood,0.0
14,Burn,2014,pine,7.87487104345929
14,Burn,2014,psme,0.0
14,Burn,2016,cedar,27.1475864054672
14,Burn,2016,fir,31.317487784423886
14,Burn,2016,oak,0.0
14,Burn,2016,other_hardwood,0.0
14,Burn,2016,pine,7.489316903385917
14,Burn,2016,psme,0.0
14,Burn,2018,cedar,27.24376713722148
14,Burn,2018,fir,16.506793921602075
14,Burn,2018,oak,0.0
14,Burn,2018,other_hardwood,0.0
14,Burn,2018,pine,7.726380612361177
14,Burn,2018,psme,0.0
15,Burn+Thin,2012,cedar,12.783016152747663
15,Burn+Thin,2012,fir,10.435851559772825
15,Burn+Thin,2012,oak,0.0
15,Burn+Thin,2012,other_hardwood,0.0
15,Burn+Thin,2012,pine,6.610537080022079
15,Burn+Thin,2012,psme,0.0
15,Burn+Thin,2014,cedar,13.000601987270665
15,Burn+Thin,2014,fir,11.028619915289223
15,Burn+Thin,2014,oak,0.0
15,Burn+Thin,2014,other_hardwood,0.0
15,Burn+Thin,2014,pine,7.069024166213162
15,Burn+Thin,2014,psme,0.0
15,Burn+Thin,2016,cedar,13.480382635751473
15,Burn+Thin,2016,fir,11.436409550033003
15,Burn+Thin,2016,oak,0.0
15,Burn+Thin,2016,other_hardwood,0.0
15,Burn+Thin,2016,pine,7.273179692142069
15,Burn+Thin,2016,psme,0.0
15,Burn+Thin,2018,cedar,13.363209411003442
15,Burn+Thin,2018,fir,10.181293106707885
15,Burn+Thin,2018,oak,0.0
15,Burn+Thin,2018,other_hardwood,0.0
15,Burn+Thin,2018,pine,6.903739304387734
15,Burn+Thin,2018,psme,0.0
16,Burn,2012,cedar,24.810027668363027
16,Burn,2012,fir,27.295684137483615
16,Burn,2012,oak,0.0
16,Burn,2012,other_hardwood,0.0
16,Burn,2012,pine,10.876233036636034
16,Burn,2012,psme,0.0
16,Burn,2014,cedar,25.18534327071189
16,Burn,2014,fir,27.989332523765288
16,Burn,2014,oak,0.0
16,Burn,2014,other_hardwood,0.0
16,Burn,2014,pine,11.14808115760354
16,Burn,2014,psme,0.0
16,Burn,2016,cedar,25.822676427016397
16,Burn,2016,fir,24.434904052231886
16,Burn,2016,oak,0.0
16,Burn,2016,other_hardwood,0.0
16,Burn,2016,pine,11.345183371692826
16,Burn,2016,psme,0.0
16,Burn,2018,cedar,26.405393867702873
16,Burn,2018,fir,12.835290945506458
16,Burn,2018,oak,0.0
16,Burn,2018,other_hardwood,0.0
16,Burn,2018,pine,9.748255102672442
16,Burn,2018,psme,0.0
17,Burn+Thin,2012,cedar,11.752067616887132
17,Burn+Thin,2012,fir,10.485056754709674
17,Burn+Thin,2012,oak,0.0
17,Burn+Thin,2012,other_hardwood,0.0
17,Burn+Thin,2012,pine,15.221727628312735
17,Burn+Thin,2012,psme,0.0
17,Burn+Thin,2014,cedar,11.97928985054271
17,Burn+Thin,2014,fir,11.142799354954692
17,Burn+Thin,2014,oak,0.0
17,Burn+Thin,2014,other_hardwood,0.0
17,Burn+Thin,2014,pine,15.555133511998081
17,Burn+Thin,2014,psme,0.0
17,Burn+Thin,2016,cedar,12.351570761654665
17,Burn+Thin,2016,fir,10.890018956065223
17,Burn+Thin,2016,oak,0.0
17,Burn+Thin,2016,other_hardwood,0.0
17,Burn+Thin,2016,pine,13.887731029443732
17,Burn+Thin,2016,psme,0.0
17,Burn+Thin,2018,cedar,12.74439201640103
17,Burn+Thin,2018,fir,6.784993647066735
17,Burn+Thin,2018,oak,0.0
17,Burn+Thin,2018,other_hardwood,0.0
17,Burn+Thin,2018,pine,14.264301087192464
17,Burn+Thin,2018,psme,0.0
18,Burn+Thin,2012,cedar,8.888032492580432
18,Burn+Thin,2012,fir,11.42059032202524
18,Burn+Thin,2012,oak,0.0
18,Burn+Thin,2012,other_hardwood,0.0
18,Burn+Thin,2012,pine,8.359812957787481
18,Burn+Thin,2012,psme,0.0
18,Burn+Thin,2014,cedar,7.309508720522332
18,Burn+Thin,2014,fir,11.394209670381345
18,Burn+Thin,2014,oak,0.0
18,Burn+Thin,2014,other_hardwood,0.0
18,Burn+Thin,2014,pine,8.58278531471445
18,Burn+Thin,2014,psme,0.0
18,Burn+Thin,2016,cedar,7.565935221302295
18,Burn+Thin,2016,fir,11.70801768822836
18,Burn+Thin,2016,oak,0.0
18,Burn+Thin,2016,other_hardwood,0.0
18,Burn+Thin,2016,pine,8.776907379105953
18,Burn+Thin,2016,psme,0.0
18,Burn+Thin,2018,cedar,7.89319700060523
18,Burn+Thin,2018,fir,10.658754103529715
18,Burn+Thin,2018,oak,0.0
18,Burn+Thin,2018,other_hardwood,0.0
18,Burn+Thin,2018,pine,8.991000373463402
18,Burn+Thin,2018,psme,0.0
19,Burn,2012,cedar,16.840806307202488
19,Burn,2012,fir,51.747847314356164
19,Burn,2012,oak,0.0
19,Burn,2012,other_hardwood,0.0
19,Burn,2012,pine,13.592340598528388
19,Burn,2012,psme,0.0
19,Burn,2014,cedar,17.103517629535805
19,Burn,2014,fir,52.897100811901566
19,Burn,2014,oak,0.0
19,Burn,2014,other_hardwood,0.0
19,Burn,2014,pine,13.782823651429485
19,Burn,2014,psme,0.0
19,Burn,2016,cedar,17.356756177353923
19,Burn,2016,fir,45.44078372134773
19,Burn,2016,oak,0.0
19,Burn,2016,other_hardwood,0.0
19,Burn,2016,pine,11.50370726432834
19,Burn,2016,psme,0.0
19,Burn,2018,cedar,17.76878041719535
19,Burn,2018,fir,34.5180092985457
19,Burn,2018,oak,0.0
19,Burn,2018,other_hardwood,0.0
19,Burn,2018,pine,11.692907500229222
19,Burn,2018,psme,0.0
20,None,2012,cedar,25.605125499078433
20,None,2012,fir,24.387127845620107
20,None,2012,oak,0.0
20,None,2012,other_hardwood,0.0
20,None,2012,pine,20.969829893415902
20,None,2012,psme,0.0
20,None,2014,cedar,26.129963458445648
20,None,2014,fir,24.807911456644984
20,None,2014,oak,0.0
20,None,2014,other_hardwood,0.0
20,None,2014,pine,21.559969346746485
20,None,2014,psme,0.0
20,None,2016,cedar,26.682739775814163
20,None,2016,fir,16.17570059917562
20,None,2016,oak,0.0
20,None,2016,other_hardwood,0.0
20,None,2016,pine,20.930114926286766
