Unit,Treatment,Year,Size_class,TPH
6,None,2016,155.3,11.11111111111111
6,None,2018,20,41.666666666666664
6,None,2018,30,77.77777777777777
6,None,2018,40,91.66666666666666
6,None,2018,50,52.77777777777778
6,None,2018,60,22.22222222222222
6,None,2018,70,16.666666666666664
6,None,2018,80,8.333333333333332
6,None,2018,90,8.333333333333332
6,None,2018,100,8.333333333333332
6,None,2018,155.3,11.11111111111111
7,None,2009,20,200.0
7,None,2009,30,177.77777777777777
7,None,2009,40,105.55555555555556
7,None,2009,50,33.33333333333333
7,None,2009,60,44.44444444444444
7,None,2009,70,16.666666666666664
7,None,2009,80,8.333333333333332
7,None,2009,90,0.0
7,None,2009,100,2.7777777777777777
7,None,2009,155.3,8.333333333333332
7,None,2012,20,205.55555555555554
7,None,2012,30,169.44444444444443
7,None,2012,40,105.55555555555556
7,None,2012,50,41.666666666666664
7,None,2012,60,50.0
7,None,2012,70,16.666666666666664
7,None,2012,80,8.333333333333332
7,None,2012,90,2.7777777777777777
7,None,2012,100,2.7777777777777777
7,None,2012,155.3,8.333333333333332
7,None,2014,20,216.66666666666666
7,None,2014,30,172.22222222222223
7,None,2014,40,102.77777777777777
7,None,2014,50,41.666666666666664
7,None,2014,60,50.0
7,None,2014,70,16.666666666666664
7,None,2014,80,5.555555555555555
7,None,2014,90,2.7777777777777777
7,None,2014,100,2.7777777777777777
7,None,2014,155.3,8.333333333333332
7,None,2016,20,216.66666666666666
7,None,2016,30,163.88888888888889
7,None,2016,40,108.33333333333333
7,None,2016,50,44.44444444444444
7,None,2016,60,41.666666666666664
7,None,2016,70,13.88888888888889
7,None,2016,80,8.333333333333332
7,None,2016,90,2.7777777777777777
7,None,2016,100,2.7777777777777777
7,None,2016,155.3,5.555555555555555
7,None,2018,20,186.11111111111111
7,None,2018,30,119.44444444444444
7,None,2018,40,100.0
7,None,2018,50,36.11111111111111
7,None,2018,60,41.666666666666664
7,None,2018,70,5.555555555555555
7,None,2018,80,13.88888888888889
7,None,2018,90,2.7777777777777777
7,None,2018,100,2.7777777777777777
7,None,2018,155.3,5.555555555555555
8,Thin,2009,20,138.88888888888889
8,Thin,2009,30,225.0
8,Thin,2009,40,100.0
8,Thin,2009,50,52.77777777777778
8,Thin,2009,60,58.33333333333333
8,Thin,2009,70,30.555555555555554
8,Thin,2009,80,16.666666666666664
8,Thin,2009,90,8.333333333333332
8,Thin,2009,100,5.555555555555555
8,Thin,2009,155.3,5.555555555555555
8,Thin,2012,20,2.7777777777777777
8,Thin,2012,30,30.555555555555554
8,Thin,2012,40,44.44444444444444
8,Thin,2012,50,30.555555555555554
8,Thin,2012,60,33.33333333333333
8,Thin,2012,70,27.77777777777778
8,Thin,2012,80,16.666666666666664
8,Thin,2012,90,2.7777777777777777
8,Thin,2012,100,2.7777777777777777
8,Thin,2012,155.3,5.555555555555555
8,Thin,2014,20,2.7777777777777777
8,Thin,2014,30,25.0
8,Thin,2014,40,41.666666666666664
8,Thin,2014,50,33.33333333333333
8,Thin,2014,60,33.33333333333333
8,Thin,2014,70,33.33333333333333
8,Thin,2014,80,13.88888888888889
8,Thin,2014,90,5.555555555555555
8,Thin,2014,100,2.7777777777777777
8,Thin,2014,155.3,2.7777777777777777
8,Thin,2016,20,2.7777777777777777
8,Thin,2016,30,22.22222222222222
8,Thin,2016,40,44.44444444444444
8,Thin,2016,50,33.33333333333333
8,Thin,2016,60,27.77777777777778
8,Thin,2016,70,36.11111111111111
8,Thin,2016,80,16.666666666666664
8,Thin,2016,90,2.7777777777777777
8,Thin,2016,100,5.555555555555555
8,Thin,2016,155.3,2.7777777777777777
8,Thin,2018,20,0.0
8,Thin,2018,30,16.666666666666664
8,Thin,2018,40,33.33333333333333
8,Thin,2018,50,25.0
8,Thin,2018,60,25.0
8,Thin,2018,70,27.77777777777778
8,Thin,2018,80,11.11111111111111
8,Thin,2018,90,13.88888888888889
8,Thin,2018,100,2.7777777777777777
8,Thin,2018,155.3,5.555555555555555
9,Thin,2009,20,102.77777777777777
9,Thin,2009,30,100.0
9,Thin,2009,40,52.77777777777778
9,Thin,2009,50,36.11111111111111
9,Thin,2009,60,50.0
9,Thin,2009,70,19.444444444444443
9,Thin,2009,80,13.88888888888889
9,Thin,2009,90,13.88888888888889
9,Thin,2009,100,0.0
9,Thin,2009,155.3,8.333333333333332
9,Thin,2012,20,11.11111111111111
9,Thin,2012,30,25.0
9,Thin,2012,40,22.22222222222222
9,Thin,2012,50,13.88888888888889
9,Thin,2012,60,22.22222222222222
9,Thin,2012,70,13.88888888888889
9,Thin,2012,80,13.88888888888889
9,Thin,2012,90,11.11111111111111
9,Thin,2012,100,0.0
9,Thin,2012,155.3,5.555555555555555
9,Thin,2014,20,13.88888888888889
9,Thin,2014,30,19.444444444444443
9,Thin,2014,40,27.77777777777778
9,Thin,2014,50,19.444444444444443
9,Thin,2014,60,19.444444444444443
9,Thin,2014,70,16.666666666666664
9,Thin,2014,80,13.88888888888889
9,Thin,2014,90,11.11111111111111
9,Thin,2014,100,0.0
9,Thin,2014,155.3,5.555555555555555
9,Thin,2016,20,13.88888888888889
9,Thin,2016,30,19.444444444444443
9,Thin,2016,40,27.77777777777778
9,Thin,2016,50,19.444444444444443
9,Thin,2016,60,19.444444444444443
9,Thin,2016,70,19.444444444444443
9,Thin,2016,80,11.11111111111111
9,Thin,2016,90,13.88888888888889
9,Thin,2016,100,0.0
9,Thin,2016,155.3,5.555555555555555
9,Thin,2018,20,13.88888888888889
9,Thin,2018,30,16.666666666666664
9,Thin,2018,40,27.77777777777778
9,Thin,2018,50,22.22222222222222
9,Thin,2018,60,16.666666666666664
9,Thin,2018,70,16.666666666666664
9,Thin,2018,80,8.333333333333332
9,Thin,2018,90,8.333333333333332
9,Thin,2018,100,5.555555555555555
9,Thin,2018,155.3,5.555555555555555
10,Thin,2009,20,225.0
10,Thin,2009,30,163.88888888888889
10,Thin,2009,40,133.33333333333331
10,Thin,2009,50,83.33333333333333
10,Thin,2009,60,38.888888888888886
10,Thin,2009,70,36.11111111111111
10,Thin,2009,80,8.333333333333332
10,Thin,2009,90,0.0
10,Thin,2009,100,0.0
10,Thin,2009,155.3,2.7777777777777777
10,Thin,2012,20,11.11111111111111
10,Thin,2012,30,25.0
10,Thin,2012,40,30.555555555555554
10,Thin,2012,50,38.888888888888886
10,Thin,2012,60,22.22222222222222
10,Thin,2012,70,27.77777777777778
10,Thin,2012,80,13.88888888888889
10,Thin,2012,90,0.0
10,Thin,2012,100,0.0
10,Thin,2012,155.3,2.7777777777777777
10,Thin,2014,20,13.88888888888889
10,Thin,2014,30,22.22222222222222
10,Thin,2014,40,22.22222222222222
10,Thin,2014,50,44.44444444444444
10,Thin,2014,60,25.0
10,Thin,2014,70,27.77777777777778
10,Thin,2014,80,16.666666666666664
10,Thin,2014,90,0.0
10,Thin,2014,100,0.0
10,Thin,2014,155.3,2.7777777777777777
10,Thin,2016,20,13.88888888888889
10,Thin,2016,30,13.88888888888889
10,Thin,2016,40,30.555555555555554
10,Thin,2016,50,41.666666666666664
10,Thin,2016,60,27.77777777777778
10,Thin,2016,70,22.22222222222222
10,Thin,2016,80,19.444444444444443
10,Thin,2016,90,2.7777777777777777
10,Thin,2016,100,0.0
10,Thin,2016,155.3,2.7777777777777777
10,Thin,2018,20,11.11111111111111
10,Thin,2018,30,13.88888888888889
10,Thin,2018,40,22.22222222222222
10,Thin,2018,50,41.666666666666664
10,Thin,2018,60,30.555555555555554
10,Thin,2018,70,19.444444444444443
10,Thin,2018,80,22.22222222222222
10,Thin,2018,90,2.7777777777777777
10,Thin,2018,100,0.0
10,Thin,2018,155.3,2.7777777777777777
11,Thin,2009,20,186.11111111111111
11,Thin,2009,30,219.44444444444443
11,Thin,2009,40,127.77777777777777
11,Thin,2009,50,86.11111111111111
11,Thin,2009,60,44.44444444444444
11,Thin,2009,70,16.666666666666664
11,Thin,2009,80,5.555555555555555
11,Thin,2009,90,0.0
11,Thin,2009,100,8.333333333333332
11,Thin,2009,155.3,0.0
11,Thin,2012,20,13.88888888888889
11,Thin,2012,30,47.22222222222222
11,Thin,2012,40,38.888888888888886
11,Thin,2012,50,50.0
11,Thin,2012,60,33.33333333333333
11,Thin,2012,70,16.666666666666664
11,Thin,2012,80,5.555555555555555
11,Thin,2012,90,0.0
11,Thin,2012,100,8.333333333333332
11,Thin,2012,155.3,0.0
11,Thin,2014,20,13.88888888888889
11,Thin,2014,30,41.666666666666664
11,Thin,2014,40,36.11111111111111
11,Thin,2014,50,52.77777777777778
11,Thin,2014,60,36.11111111111111
11,Thin,2014,70,19.444444444444443
11,Thin,2014,80,2.7777777777777777
11,Thin,2014,90,2.7777777777777777
11,Thin,2014,100,5.555555555555555
11,Thin,2014,155.3,2.7777777777777777
11,Thin,2016,20,11.11111111111111
11,Thin,2016,30,38.888888888888886
11,Thin,2016,40,33.33333333333333
11,Thin,2016,50,50.0
11,Thin,2016,60,41.666666666666664
11,Thin,2016,70,22.22222222222222
11,Thin,2016,80,2.7777777777777777
11,Thin,2016,90,2.7777777777777777
11,Thin,2016,100,2.7777777777777777
11,Thin,2016,155.3,2.7777777777777777
11,Thin,2018,20,11.11111111111111
11,Thin,2018,30,19.444444444444443
11,Thin,2018,40,44.44444444444444
11,Thin,2018,50,44.44444444444444
11,Thin,2018,60,44.44444444444444
11,Thin,2018,70,22.22222222222222
11,Thin,2018,80,5.555555555555555
11,Thin,2018,90,2.7777777777777777
11,Thin,2018,100,2.7777777777777777
11,Thin,2018,155.3,2.7777777777777777
12,None,2009,20,219.44444444444443
12,None,2009,30,225.0
12,None,2009,40,94.44444444444444
12,None,2009,50,55.55555555555556
12,None,2009,60,22.22222222222222
12,None,2009,70,16.666666666666664
12,None,2009,80,0.0
12,None,2009,90,2.7777777777777777
12,None,2009,100,0.0
12,None,2009,155.3,2.7777777777777777
12,None,2012,20,244.44444444444443
12,None,2012,30,202.77777777777777
12,None,2012,40,83.33333333333333
12,None,2012,50,66.66666666666666
12,None,2012,60,22.22222222222222
12,None,2012,70,16.666666666666664
12,None,2012,80,2.7777777777777777
12,None,2012,90,2.7777777777777777
12,None,2012,100,0.0
12,None,2012,155.3,2.7777777777777777
12,None,2014,20,238.88888888888889
12,None,2014,30,202.77777777777777
12,None,2014,40,86.11111111111111
12,None,2014,50,61.11111111111111
12,None,2014,60,27.77777777777778
12,None,2014,70,16.666666666666664
12,None,2014,80,2.7777777777777777
12,None,2014,90,2.7777777777777777
12,None,2014,100,0.0
12,None,2014,155.3,2.7777777777777777
12,None,2016,20,227.77777777777777
12,None,2016,30,197.22222222222223
12,None,2016,40,86.11111111111111
12,None,2016,50,55.55555555555556
12,None,2016,60,25.0
12,None,2016,70,13.88888888888889
12,None,2016,80,8.333333333333332
12,None,2016,90,2.7777777777777777
12,None,2016,100,0.0
12,None,2016,155.3,2.7777777777777777
12,None,2018,20,175.0
12,None,2018,30,125.0
12,None,2018,40,88.88888888888889
12,None,2018,50,33.33333333333333
12,None,2018,60,25.0
12,None,2018,70,11.11111111111111
12,None,2018,80,5.555555555555555
12,None,2018,90,2.7777777777777777
12,None,2018,100,0.0
12,None,2018,155.3,2.7777777777777777
13,Burn+Thin,2009,20,111.11111111111111
13,Burn+Thin,2009,30,122.22222222222221
13,Burn+Thin,2009,40,77.77777777777777
13,Burn+Thin,2009,50,41.666666666666664
13,Burn+Thin,2009,60,36.11111111111111
13,Burn+Thin,2009,70,38.888888888888886
13,Burn+Thin,2009,80,13.88888888888889
13,Burn+Thin,2009,90,8.333333333333332
13,Burn+Thin,2009,100,2.7777777777777777
13,Burn+Thin,2009,155.3,0.0
13,Burn+Thin,2012,20,19.444444444444443
13,Burn+Thin,2012,30,22.22222222222222
13,Burn+Thin,2012,40,13.88888888888889
13,Burn+Thin,2012,50,16.666666666666664
13,Burn+Thin,2012,60,13.88888888888889
13,Burn+Thin,2012,70,33.33333333333333
13,Burn+Thin,2012,80,8.333333333333332
13,Burn+Thin,2012,90,8.333333333333332
13,Burn+Thin,2012,100,0.0
13,Burn+Thin,2012,155.3,2.7777777777777777
13,Burn+Thin,2014,20,11.11111111111111
13,Burn+Thin,2014,30,19.444444444444443
13,Burn+Thin,2014,40,13.88888888888889
13,Burn+Thin,2014,50,16.666666666666664
13,Burn+Thin,2014,60,16.666666666666664
13,Burn+Thin,2014,70,25.0
13,Burn+Thin,2014,80,16.666666666666664
13,Burn+Thin,2014,90,8.333333333333332
13,Burn+Thin,2014,100,0.0
13,Burn+Thin,2014,155.3,2.7777777777777777
13,Burn+Thin,2016,20,11.11111111111111
13,Burn+Thin,2016,30,13.88888888888889
13,Burn+Thin,2016,40,11.11111111111111
13,Burn+Thin,2016,50,11.11111111111111
13,Burn+Thin,2016,60,16.666666666666664
13,Burn+Thin,2016,70,22.22222222222222
13,Burn+Thin,2016,80,22.22222222222222
13,Burn+Thin,2016,90,8.333333333333332
13,Burn+Thin,2016,100,0.0
13,Burn+Thin,2016,155.3,2.7777777777777777
13,Burn+Thin,2018,20,11.11111111111111
13,Burn+Thin,2018,30,13.88888888888889
13,Burn+Thin,2018,40,11.11111111111111
13,Burn+Thin,2018,50,11.11111111111111
13,Burn+Thin,2018,60,13.88888888888889
13,Burn+Thin,2018,70,22.22222222222222
13,Burn+Thin,2018,80,25.0
13,Burn+Thin,2018,90,2.7777777777777777
13,Burn+Thin,2018,100,5.555555555555555
13,Burn+Thin,2018,155.3,2.7777777777777777
14,Burn,2009,20,127.77777777777777
14,Burn,2009,30,208.33333333333331
14,Burn,2009,40,130.55555555555554
14,Burn,2009,50,88.88888888888889
14,Burn,2009,60,55.55555555555556
14,Burn,2009,70,22.22222222222222
14,Burn,2009,80,8.333333333333332
14,Burn,2009,90,2.7777777777777777
14,Burn,2009,100,2.7777777777777777
14,Burn,2009,155.3,0.0
14,Burn,2012,20,127.77777777777777
14,Burn,2012,30,177.77777777777777
14,Burn,2012,40,122.22222222222221
14,Burn,2012,50,83.33333333333333
14,Burn,2012,60,66.66666666666666
14,Burn,2012,70,27.77777777777778
14,Burn,2012,80,5.555555555555555
14,Burn,2012,90,5.555555555555555
14,Burn,2012,100,2.7777777777777777
14,Burn,2012,155.3,0.0
14,Burn,2014,20,125.0
14,Burn,2014,30,180.55555555555554
14,Burn,2014,40,119.44444444444444
14,Burn,2014,50,80.55555555555556
14,Burn,2014,60,72.22222222222221
14,Burn,2014,70,30.555555555555554
14,Burn,2014,80,5.555555555555555
14,Burn,2014,90,5.555555555555555
14,Burn,2014,100,2.7777777777777777
14,Burn,2014,155.3,0.0
14,Burn,2016,20,91.66666666666666
14,Burn,2016,30,138.88888888888889
14,Burn,2016,40,116.66666666666666
14,Burn,2016,50,72.22222222222221
14,Burn,2016,60,66.66666666666666
14,Burn,2016,70,33.33333333333333
14,Burn,2016,80,8.333333333333332
14,Burn,2016,90,5.555555555555555
14,Burn,2016,100,2.7777777777777777
14,Burn,2016,155.3,0.0
14,Burn,2018,20,63.888888888888886
14,Burn,2018,30,116.66666666666666
14,Burn,2018,40,80.55555555555556
14,Burn,2018,50,61.11111111111111
14,Burn,2018,60,47.22222222222222
14,Burn,2018,70,22.22222222222222
14,Burn,2018,80,8.333333333333332
14,Burn,2018,90,5.555555555555555
14,Burn,2018,100,2.7777777777777777
14,Burn,2018,155.3,0.0
15,Burn+Thin,2009,20,125.0
15,Burn+Thin,2009,30,166.66666666666666
15,Burn+Thin,2009,40,94.44444444444444
15,Burn+Thin,2009,50,69.44444444444444
15,Burn+Thin,2009,60,58.33333333333333
15,Burn+Thin,2009,70,22.22222222222222
15,Burn+Thin,2009,80,5.555555555555555
15,Burn+Thin,2009,90,5.555555555555555
15,Burn+Thin,2009,100,0.0
15,Burn+Thin,2009,155.3,0.0
15,Burn+Thin,2012,20,11.11111111111111
15,Burn+Thin,2012,30,19.444444444444443
15,Burn+Thin,2012,40,27.77777777777778
15,Burn+Thin,2012,50,33.33333333333333
15,Burn+Thin,2012,60,41.666666666666664
15,Burn+Thin,2012,70,19.444444444444443
15,Burn+Thin,2012,80,2.7777777777777777
15,Burn+Thin,2012,90,5.555555555555555
15,Burn+Thin,2012,100,0.0
15,Burn+Thin,2012,155.3,0.0
15,Burn+Thin,2014,20,13.88888888888889
15,Burn+Thin,2014,30,19.444444444444443
15,Burn+Thin,2014,40,22.22222222222222
