Unit,Treatment,DBH_timeframe,Year,Size_class,TPH
bc3,Burn+Thin,DBH_15Post,2016.1377049180328,50,2.0
bc3,Burn+Thin,DBH_15Post,2016.1377049180328,60,0.5
bc3,Burn+Thin,DBH_15Post,2016.1377049180328,70,0.0
bc3,Burn+Thin,DBH_15Post,2016.1377049180328,80,1.0
bc3,Burn+Thin,DBH_15Post,2016.1377049180328,90,3.0
bc3,Burn+Thin,DBH_15Post,2016.1377049180328,100,6.0
bc3,Burn+Thin,DBH_15Post,2016.1377049180328,227.2,15.75
bc3,Burn+Thin,DBH_1PostRX,2018.0,20,5.0
bc3,Burn+Thin,DBH_1PostRX,2018.0,30,12.25
bc3,Burn+Thin,DBH_1PostRX,2018.0,40,11.25
bc3,Burn+Thin,DBH_1PostRX,2018.0,50,2.0
bc3,Burn+Thin,DBH_1PostRX,2018.0,60,0.5
bc3,Burn+Thin,DBH_1PostRX,2018.0,70,0.0
bc3,Burn+Thin,DBH_1PostRX,2018.0,80,0.75
bc3,Burn+Thin,DBH_1PostRX,2018.0,90,2.5
bc3,Burn+Thin,DBH_1PostRX,2018.0,100,5.75
bc3,Burn+Thin,DBH_1PostRX,2018.0,227.2,12.0
bc3,Burn+Thin,DBH_2008,2008.0,20,0.0
bc3,Burn+Thin,DBH_2008,2008.0,30,0.0
bc3,Burn+Thin,DBH_2008,2008.0,40,0.0
bc3,Burn+Thin,DBH_2008,2008.0,50,0.0
bc3,Burn+Thin,DBH_2008,2008.0,60,0.0
bc3,Burn+Thin,DBH_2008,2008.0,70,0.0
bc3,Burn+Thin,DBH_2008,2008.0,80,0.5
bc3,Burn+Thin,DBH_2008,2008.0,90,6.5
bc3,Burn+Thin,DBH_2008,2008.0,100,8.25
bc3,Burn+Thin,DBH_2008,2008.0,227.2,15.5
bc3,Burn+Thin,DBH_2PostRX,2019.0,20,3.75
bc3,Burn+Thin,DBH_2PostRX,2019.0,30,11.5
bc3,Burn+Thin,DBH_2PostRX,2019.0,40,8.75
bc3,Burn+Thin,DBH_2PostRX,2019.0,50,2.25
bc3,Burn+Thin,DBH_2PostRX,2019.0,60,0.25
bc3,Burn+Thin,DBH_2PostRX,2019.0,70,0.0
bc3,Burn+Thin,DBH_2PostRX,2019.0,80,0.5
bc3,Burn+Thin,DBH_2PostRX,2019.0,90,2.5
bc3,Burn+Thin,DBH_2PostRX,2019.0,100,5.0
bc3,Burn+Thin,DBH_2PostRX,2019.0,227.2,10.75
bc3,Burn+Thin,DBH_Post,2003.0,20,20.75
bc3,Burn+Thin,DBH_Post,2003.0,30,25.25
bc3,Burn+Thin,DBH_Post,2003.0,40,4.0
bc3,Burn+Thin,DBH_Post,2003.0,50,1.25
bc3,Burn+Thin,DBH_Post,2003.0,60,0.75
bc3,Burn+Thin,DBH_Post,2003.0,70,1.5
bc3,Burn+Thin,DBH_Post,2003.0,80,2.75
bc3,Burn+Thin,DBH_Post,2003.0,90,8.0
bc3,Burn+Thin,DBH_Post,2003.0,100,7.75
bc3,Burn+Thin,DBH_Post,2003.0,227.2,17.25
bc3,Burn+Thin,DBH_Pre,2000.0,20,38.0
bc3,Burn+Thin,DBH_Pre,2000.0,30,49.25
bc3,Burn+Thin,DBH_Pre,2000.0,40,38.75
bc3,Burn+Thin,DBH_Pre,2000.0,50,22.75
bc3,Burn+Thin,DBH_Pre,2000.0,60,16.0
bc3,Burn+Thin,DBH_Pre,2000.0,70,16.0
bc3,Burn+Thin,DBH_Pre,2000.0,80,11.75
bc3,Burn+Thin,DBH_Pre,2000.0,90,7.25
bc3,Burn+Thin,DBH_Pre,2000.0,100,7.75
bc3,Burn+Thin,DBH_Pre,2000.0,227.2,17.5
bn1,Burn,DBH_10Post,2011.0,20,49.0
bn1,Burn,DBH_10Post,2011.0,30,71.0
bn1,Burn,DBH_10Post,2011.0,40,45.0
bn1,Burn,DBH_10Post,2011.0,50,22.0
bn1,Burn,DBH_10Post,2011.0,60,18.5
bn1,Burn,DBH_10Post,2011.0,70,15.0
bn1,Burn,DBH_10Post,2011.0,80,8.25
bn1,Burn,DBH_10Post,2011.0,90,7.0
bn1,Burn,DBH_10Post,2011.0,100,4.5
bn1,Burn,DBH_10Post,2011.0,227.2,12.5
bn1,Burn,DBH_15Post,2016.110465116279,20,42.75
bn1,Burn,DBH_15Post,2016.110465116279,30,58.25
bn1,Burn,DBH_15Post,2016.110465116279,40,39.0
bn1,Burn,DBH_15Post,2016.110465116279,50,23.0
bn1,Burn,DBH_15Post,2016.110465116279,60,16.75
bn1,Burn,DBH_15Post,2016.110465116279,70,11.0
bn1,Burn,DBH_15Post,2016.110465116279,80,6.0
bn1,Burn,DBH_15Post,2016.110465116279,90,6.0
bn1,Burn,DBH_15Post,2016.110465116279,100,3.25
bn1,Burn,DBH_15Post,2016.110465116279,227.2,9.0
bn1,Burn,DBH_1PostRX,2018.0,20,36.5
bn1,Burn,DBH_1PostRX,2018.0,30,56.5
bn1,Burn,DBH_1PostRX,2018.0,40,39.0
bn1,Burn,DBH_1PostRX,2018.0,50,22.25
bn1,Burn,DBH_1PostRX,2018.0,60,17.25
bn1,Burn,DBH_1PostRX,2018.0,70,9.75
bn1,Burn,DBH_1PostRX,2018.0,80,6.0
bn1,Burn,DBH_1PostRX,2018.0,90,6.25
bn1,Burn,DBH_1PostRX,2018.0,100,2.75
bn1,Burn,DBH_1PostRX,2018.0,227.2,8.25
bn1,Burn,DBH_2008,2008.0,20,0.0
bn1,Burn,DBH_2008,2008.0,30,0.0
bn1,Burn,DBH_2008,2008.0,40,0.0
bn1,Burn,DBH_2008,2008.0,50,0.0
bn1,Burn,DBH_2008,2008.0,60,0.0
bn1,Burn,DBH_2008,2008.0,70,0.0
bn1,Burn,DBH_2008,2008.0,80,2.5
bn1,Burn,DBH_2008,2008.0,90,6.25
bn1,Burn,DBH_2008,2008.0,100,4.0
bn1,Burn,DBH_2008,2008.0,227.2,12.75
