Treatment,Plot,TreeID_clean,Species_clean,DBH_timeframe,dbh,Year,Status,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,Remove flag,PFT,Outlier,DBH_BA,Treatment_raw,PFT_simple,start_year_raw,end_year_raw
None,un2,un2_1417,cade,DBH_10Post,31.7,2011,1.0,9.0,3.8000000000000007,0.4222222222222223,2002.0,2011,0,cedar,0,31.7,Control,cedar,2002.0,2011
None,un2,un2_1419,cade,DBH_10Post,41.8,2011,1.0,9.0,3.5,0.3888888888888889,2002.0,2011,0,cedar,0,41.8,Control,cedar,2002.0,2011
None,un2,un2_1420,cade,DBH_10Post,31.3,2011,1.0,9.0,2.1999999999999997,0.2444444444444443,2002.0,2011,0,cedar,0,31.3,Control,cedar,2002.0,2011
None,un2,un2_1424,cade,DBH_10Post,35.2,2011,1.0,9.0,2.6000000000000014,0.288888888888889,2002.0,2011,0,cedar,0,35.2,Control,cedar,2002.0,2011
None,un2,un2_1425,cade,DBH_10Post,50.0,2011,1.0,9.0,1.7000000000000028,0.1888888888888892,2002.0,2011,0,cedar,0,50.0,Control,cedar,2002.0,2011
None,un2,un2_1428,cade,DBH_10Post,50.5,2011,1.0,9.0,4.899999999999999,0.5444444444444443,2002.0,2011,0,cedar,0,50.5,Control,cedar,2002.0,2011
None,un2,un2_1429,cade,DBH_10Post,51.1,2011,1.0,9.0,6.100000000000001,0.6777777777777779,2002.0,2011,0,cedar,0,51.1,Control,cedar,2002.0,2011
None,un2,un2_1430,cade,DBH_10Post,41.0,2011,1.0,9.0,2.1000000000000014,0.2333333333333335,2002.0,2011,0,cedar,0,41.0,Control,cedar,2002.0,2011
None,un2,un2_1432,abco,DBH_10Post,92.3,2011,1.0,3.0,1.7000000000000028,0.5666666666666677,2008.0,2011,0,fir,0,92.3,Control,fir,2008.0,2011
None,un2,un2_1433,pila,DBH_10Post,57.9,2011,1.0,9.0,2.8999999999999986,0.3222222222222221,2002.0,2011,0,white_pine,0,57.9,Control,pine,2002.0,2011
None,un2,un2_1436,cade,DBH_10Post,81.5,2011,1.0,9.0,6.900000000000006,0.7666666666666673,2002.0,2011,0,cedar,0,81.5,Control,cedar,2002.0,2011
