Unit,Treatment,DBH_timeframe,Year,PFT,BAperTree_m2ha
bn2,Burn,DBH_Post,2004.0,fir,31.460401756400064
bn2,Burn,DBH_Post,2004.0,oak,0.048371298436862886
bn2,Burn,DBH_Post,2004.0,other_hardwood,0.0
bn2,Burn,DBH_Post,2004.0,pine,14.501037197867127
bn2,Burn,DBH_Post,2004.0,unknown,0.0
bn2,Burn,DBH_Pre,2000.0,cedar,7.320016518917195
bn2,Burn,DBH_Pre,2000.0,fir,34.05848244180272
bn2,Burn,DBH_Pre,2000.0,oak,0.0728710087458829
bn2,Burn,DBH_Pre,2000.0,other_hardwood,0.0
bn2,Burn,DBH_Pre,2000.0,pine,16.706420903163547
bn2,Burn,DBH_Pre,2000.0,unknown,0.44178646691106466
bn3,Burn,DBH_10Post,2011.0,cedar,13.745476114347607
bn3,Burn,DBH_10Post,2011.0,fir,33.869084712547
bn3,Burn,DBH_10Post,2011.0,oak,0.009417120328676252
bn3,Burn,DBH_10Post,2011.0,other_hardwood,0.0
bn3,Burn,DBH_10Post,2011.0,pine,6.409150606217922
bn3,Burn,DBH_10Post,2011.0,unknown,0.0
bn3,Burn,DBH_15Post,2016.105580693816,cedar,14.909926345070721
bn3,Burn,DBH_15Post,2016.105580693816,fir,21.019850200746664
bn3,Burn,DBH_15Post,2016.105580693816,oak,0.010386890710931254
bn3,Burn,DBH_15Post,2016.105580693816,other_hardwood,0.0
bn3,Burn,DBH_15Post,2016.105580693816,pine,6.683009717366192
bn3,Burn,DBH_15Post,2016.105580693816,unknown,0.0
bn3,Burn,DBH_1PostRX,2018.0,cedar,14.202981183181075
bn3,Burn,DBH_1PostRX,2018.0,fir,20.02744166000036
bn3,Burn,DBH_1PostRX,2018.0,oak,0.0
bn3,Burn,DBH_1PostRX,2018.0,other_hardwood,0.0
bn3,Burn,DBH_1PostRX,2018.0,pine,6.31771180314162
bn3,Burn,DBH_1PostRX,2018.0,unknown,0.0
bn3,Burn,DBH_2008,2008.0,cedar,7.90288091632669
bn3,Burn,DBH_2008,2008.0,fir,19.417764691044486
bn3,Burn,DBH_2008,2008.0,oak,0.0
bn3,Burn,DBH_2008,2008.0,other_hardwood,0.0
bn3,Burn,DBH_2008,2008.0,pine,4.650177395512437
bn3,Burn,DBH_2008,2008.0,unknown,0.0
bn3,Burn,DBH_2PostRX,2019.0,cedar,13.842019094424122
bn3,Burn,DBH_2PostRX,2019.0,fir,19.283818814005713
bn3,Burn,DBH_2PostRX,2019.0,oak,0.0
bn3,Burn,DBH_2PostRX,2019.0,other_hardwood,0.0
bn3,Burn,DBH_2PostRX,2019.0,pine,6.371062575021807
bn3,Burn,DBH_2PostRX,2019.0,unknown,0.0
bn3,Burn,DBH_Post,2003.0,cedar,12.75590171804765
bn3,Burn,DBH_Post,2003.0,fir,32.95972271551378
bn3,Burn,DBH_Post,2003.0,oak,0.008576744293840984
bn3,Burn,DBH_Post,2003.0,other_hardwood,0.0
bn3,Burn,DBH_Post,2003.0,pine,9.629568372030315
